,,safety_recovery_onset_min,safety_recovery_onset_min,safety_recovery_onset_min,recovery_after_removal_min,recovery_after_removal_min,recovery_after_removal_min,duration_above_sla_including_terminal_min,duration_above_sla_including_terminal_min,duration_above_sla_including_terminal_min,peak_excess_including_terminal_degC,peak_excess_including_terminal_degC,peak_excess_including_terminal_degC,integrated_excess_including_terminal_degC_min,integrated_excess_including_terminal_degC_min,integrated_excess_including_terminal_degC_min,target_return_onset_min,target_return_onset_min,target_return_onset_min,iae_degC_min,iae_degC_min,iae_degC_min,fan_effort_normalized_min,fan_effort_normalized_min,fan_effort_normalized_min,fan_total_variation,fan_total_variation,fan_total_variation,crp_nonconverged_ticks,crp_nonconverged_ticks,crp_nonconverged_ticks,verifier_rejects,verifier_rejects,verifier_rejects
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
case,condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_start_clean,fpr_crp,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.9186655748200039,1.8558019544639703,1.965233850591325,64.66666666666667,32.0,82.0,116.10666335164848,112.47295472603544,119.47593692799744,141.16666666666666,140.4,141.6,5.266666666666666,4.599999999999999,5.799999999999999,0.0,0,0,0.0,0,0
hot_start_clean,mean,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.9186655748200039,1.8558019544639703,1.965233850591325,65.66666666666667,32.0,83.0,116.5941775706636,107.29915549938744,122.64788276505875,141.0666666666667,140.8,141.4,5.333333333333332,4.799999999999999,5.799999999999999,0.0,0,0,0.0,0,0
hot_start_clean,oracle,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.9186655748200039,1.8558019544639703,1.965233850591325,64.33333333333333,32.0,81.0,111.66378899178703,106.90219578730655,114.67482540244136,140.83333333333334,140.5,141.0,4.633333333333332,4.299999999999999,4.999999999999999,0.0,0,0,0.0,0,0
hot_start_common_bias,fpr_crp,68.0,68.0,68.0,8.0,8.0,8.0,61.333333333333336,60.0,63.0,1.4279654426997155,1.383246839756012,1.4685304945488156,50.073115912811396,48.84962643508503,51.40185540283841,88.66666666666667,87.0,90.0,242.6781752385252,233.42420548627925,249.1704073329951,119.60000000000001,118.7,120.2,4.499999999999999,4.199999999999999,4.999999999999998,0.0,0,0,0.6666666666666666,0,1
hot_start_common_bias,mean,68.0,68.0,68.0,8.0,8.0,8.0,61.333333333333336,60.0,63.0,1.3751253468036353,1.2983265520677634,1.4321189937943188,50.27486475257739,49.78435383016996,50.703834132376734,88.0,87.0,89.0,242.2856557995874,238.21028664327773,245.572418195648,119.3,119.0,119.8,4.199999999999999,3.8,4.599999999999999,0.0,0,0,0.0,0,0
hot_start_common_bias,oracle,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.9186655748200039,1.8558019544639703,1.965233850591325,64.33333333333333,32.0,81.0,111.66378899178703,106.90219578730655,114.67482540244136,140.83333333333334,140.5,141.0,4.633333333333332,4.299999999999999,4.999999999999999,0.0,0,0,0.0,0,0
