seed,scenario_index,attack,intensity,condition,effective_start,effective_end_exclusive,effective_ticks,alarm_in_effective_window,alarm_ticks_effective,alarm_ticks_pre_attack,alarm_ticks_transition_interval_60_119
42,2,bias,high,oracle,84.0,144.0,60,True,60,0,36
42,3,drift,low,fpr_crp,84.0,144.0,60,False,0,0,0
42,3,drift,low,mean,84.0,144.0,60,True,10,0,0
42,3,drift,low,oracle,84.0,144.0,60,True,10,0,0
42,4,drift,high,fpr_crp,84.0,144.0,60,False,0,0,0
42,4,drift,high,mean,84.0,144.0,60,True,34,0,10
42,4,drift,high,oracle,84.0,144.0,60,True,34,0,10
42,5,replay,low,fpr_crp,84.0,144.0,60,False,0,0,0
42,5,replay,low,mean,84.0,144.0,60,True,3,0,3
42,5,replay,low,oracle,84.0,144.0,60,True,4,0,0
42,6,replay,high,fpr_crp,84.0,144.0,60,False,0,0,0
42,6,replay,high,mean,84.0,144.0,60,True,4,0,0
42,6,replay,high,oracle,84.0,144.0,60,False,0,0,0
42,7,freeze,low,fpr_crp,84.0,104.0,20,False,0,0,0
42,7,freeze,low,mean,84.0,104.0,20,False,0,0,0
42,7,freeze,low,oracle,84.0,104.0,20,False,0,0,0
42,8,freeze,high,fpr_crp,84.0,144.0,60,False,0,0,0
42,8,freeze,high,mean,84.0,144.0,60,False,0,0,0
42,8,freeze,high,oracle,84.0,144.0,60,False,0,0,0
42,9,spike,low,fpr_crp,84.0,144.0,60,True,58,0,34
42,9,spike,low,mean,84.0,144.0,60,True,60,0,36
42,9,spike,low,oracle,84.0,144.0,60,True,60,0,36
42,10,spike,high,fpr_crp,84.0,144.0,60,True,58,0,34
42,10,spike,high,mean,84.0,144.0,60,True,60,0,36
42,10,spike,high,oracle,84.0,144.0,60,True,60,0,36
42,11,scaling,low,fpr_crp,84.0,144.0,60,False,0,0,0
42,11,scaling,low,mean,84.0,144.0,60,True,31,0,18
42,11,scaling,low,oracle,84.0,144.0,60,True,36,0,21
42,12,scaling,high,fpr_crp,84.0,144.0,60,True,1,0,1
42,12,scaling,high,mean,84.0,144.0,60,True,60,0,36
42,12,scaling,high,oracle,84.0,144.0,60,True,60,0,36
42,13,stuck,low,fpr_crp,84.0,144.0,60,False,0,0,0
42,13,stuck,low,mean,84.0,144.0,60,True,60,0,36
42,13,stuck,low,oracle,84.0,144.0,60,True,41,0,33
42,14,stuck,high,fpr_crp,84.0,144.0,60,True,2,0,2
42,14,stuck,high,mean,84.0,144.0,60,True,60,0,36
42,14,stuck,high,oracle,84.0,144.0,60,True,60,0,36
