file,sha256,bytes,ticks
seed101_14_stuck_high_oracle.ticks.csv,a3475abf88614e47edc7b89adf40c7efbdeec435829c7c01e543cad96150c37a,52970,240
seed11_00_nominal_none_fpr_crp.ticks.csv,66e20d68bfa326c1ff1da19e80d330bcf66a658728cbebe2cb6859031cca5c00,66617,240
seed11_00_nominal_none_mean.ticks.csv,977b4f3714d60d213edafd66cbcae916d07aeb05fc2c3eb732350d8f49f5217d,56234,240
seed11_00_nominal_none_oracle.ticks.csv,c4daef2b5dbb7a57ee9ea78029ef362ca982f2e2a4eb57e7a59db1192033881c,52468,240
seed11_01_bias_low_fpr_crp.ticks.csv,c3da67b560c154ee60f0f2c601921faf2571b892a62a6e0b901f14e48b4fc745,65799,240
seed11_01_bias_low_mean.ticks.csv,03bb1adfc9a42ce11b845dcaee950826bf32c0629194b36e55f39b7857ab6e47,55778,240
seed11_01_bias_low_oracle.ticks.csv,4e75a05193e86dcba8789a7b2dbe72c6d065117f21c7b611085927f18f6b5bb3,52086,240
seed11_02_bias_high_fpr_crp.ticks.csv,8c79ccf4f4d12c4e32af8e474cb69a82c80c525637ef58c3464bce4b752dbe7d,65835,240
seed11_02_bias_high_mean.ticks.csv,e2fbe0392587d6dcef6ae17591a9eb3a35ae51187eecbbfe0e5dc34453a4d3a5,56290,240
seed11_02_bias_high_oracle.ticks.csv,e8cbf104752fe7dcb152d7a22e59600ceffb2d3407d530305b0158f7896e26c0,52698,240
seed11_03_drift_low_fpr_crp.ticks.csv,84ea56413a010e8772d58a9ea2ce8e46a3206146c5ceec5e539c818c163ad7f1,65927,240
seed11_03_drift_low_mean.ticks.csv,a693887d92e2b89532895bb9e5f00ba3d9c6737c57f2026e5fa49b3ac0475592,55601,240
seed11_03_drift_low_oracle.ticks.csv,cf39be13d26e802a3935dceffaa310073cee7709b5cf707ca956fbd40b78597b,52192,240
seed11_04_drift_high_fpr_crp.ticks.csv,73cabd6a0bac4f34fed017c761c6472e767fa1b009124c6caeab6a252126ed48,65928,240
seed11_04_drift_high_mean.ticks.csv,0e0a8ec4ca68f73b4a72d9ea39bf90bc04da2142031311f82890e99f28add267,56413,240
seed11_04_drift_high_oracle.ticks.csv,56b541b2f4f56f9dcea9f5d3ec515e0ec18e5968dd4508ebf06f0069a0135d80,52173,240
seed11_05_replay_low_fpr_crp.ticks.csv,8a39b2eb4f15f3133a1fe6955e5b38bef28c15fb5b4c0a101d0677eaa6dcde30,65763,240
seed11_05_replay_low_mean.ticks.csv,4a02b56d2fb01a552fc58b83f5331ef970d9c195977bb1a0b19914ebf7f74b53,55436,240
seed11_05_replay_low_oracle.ticks.csv,efec425e421204a0638be2f58168b1c2b0da87df32448d7a28b4df3f2b889df0,52022,240
seed11_06_replay_high_fpr_crp.ticks.csv,74cb62230ce58ba12c93e4a3416e3c7a085bd53b1142b3ffd736778ea53e5310,65896,240
seed11_06_replay_high_mean.ticks.csv,077404acb154848e9d972a78db351f54e45106de5afccfdfbd0639cffee138b3,55967,240
seed11_06_replay_high_oracle.ticks.csv,21db045749550087615dc89a1ea9ea0de7eaa553f999416ea2b3e651800564e7,52115,240
seed11_07_freeze_low_fpr_crp.ticks.csv,46b35fae23858dfb1fafa4e27fbeba403b1797b6f14a2ef6132e281c43452104,66221,240
seed11_07_freeze_low_mean.ticks.csv,9494e76f93175c9a4aca4e0a63ca10fc824106c54156a6c60e6941095134374e,55663,240
seed11_07_freeze_low_oracle.ticks.csv,f9200502a941260faccd16050fe20c0a5f17acff48cfd5f5217ce6c883967004,51603,240
seed11_08_freeze_high_fpr_crp.ticks.csv,9510c4adadc6eeff89cafa0750c61fd468666e502b5517c91892e50db6070f98,66471,240
seed11_08_freeze_high_mean.ticks.csv,6badba0a7902c38a56d6be0e30f1a1b03c488f3cbe6a1b172ccab48783f16c33,56177,240
seed11_08_freeze_high_oracle.ticks.csv,cdb2eaa400fc013275109697f70dd193bd18f53479b0c0b2b330248d896094ff,52451,240
seed11_09_spike_low_fpr_crp.ticks.csv,fe9628e45c783c73e52005f3dd290b0eafba615ce1dc8cb8a75369317db04965,65378,240
seed11_09_spike_low_mean.ticks.csv,5449b6a912d262f2f779ba45857655a1129066ce08ca4e410fe561742d543d69,56572,240
seed11_09_spike_low_oracle.ticks.csv,06d65fc350c1b491b758470327f9fe39d5d5a74d99cc7a42664c776567300fa1,52593,240
seed11_10_spike_high_fpr_crp.ticks.csv,4ebe987ef0a2f525862377f20c0776da6a25174f9173333c09f322f720cd7349,66719,240
seed11_10_spike_high_mean.ticks.csv,a21a5d9244249ae8fe7067f35640f37cc92821bd4d0ff3d4968df5eddd3afcc7,57354,240
seed11_10_spike_high_oracle.ticks.csv,823d79c5bd8cdc6c1f3242cd2ce910c40bc45e3ea6b9021edf0c0e7ee89df16a,53219,240
seed11_11_scaling_low_fpr_crp.ticks.csv,a207fb3ad9b724255a35339a3a96f05848e234a001d514339827889282890e2d,66374,240
seed11_11_scaling_low_mean.ticks.csv,d0f50386da3c643fd5b97318a08a265ff049104ad957703ecd24d4d2798f941e,56497,240
seed11_11_scaling_low_oracle.ticks.csv,bc8b0f68fa054283a17ffa265359b6f828e2d000b3623f6eadc9c425c55bd058,52832,240
seed11_12_scaling_high_fpr_crp.ticks.csv,926c500b28454e59c9df4c6da14a11edb41d76ca8022426fd54b639d0277dc5a,67043,240
seed11_12_scaling_high_mean.ticks.csv,88fd0f8714196e1815e4eefa78e248219a4d6b161c6d861a554784bfd7146c9a,57428,240
seed11_12_scaling_high_oracle.ticks.csv,ec181563575843a9820a516ef53f52f7de27161f1e5616091b6065726c400acb,53783,240
seed11_13_stuck_low_fpr_crp.ticks.csv,7d503cab2881b2428b25d4087e6f83cbc36ff40c251e7ed1221126261d92c0fe,65612,240
seed11_13_stuck_low_mean.ticks.csv,2c7d23454aaf617ad6e403cbfd1a4748bbf9c9d505cfc6a68e6756fad2d251cd,56790,240
seed11_13_stuck_low_oracle.ticks.csv,75325c3823f432db9ca7c33605e32bd3cc18b89d99b0271a27d679f5a4acf8d2,52432,240
seed11_14_stuck_high_fpr_crp.ticks.csv,11562410fa441bd86fef5fe0cf7f5aebed6d2fe0c669d8fb75c3e741bd28758c,67905,240
