file,ticks,temperature_continuity,plant_equation,fan_continuity,finite,metrics_match,bounds_slew
seed11_13_stuck_low_mean.ticks.csv,240,True,True,True,True,True,True
seed11_13_stuck_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed11_14_stuck_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed11_14_stuck_high_mean.ticks.csv,240,True,True,True,True,True,True
seed11_14_stuck_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_00_nominal_none_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_00_nominal_none_mean.ticks.csv,240,True,True,True,True,True,True
seed42_00_nominal_none_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_01_bias_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_01_bias_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_01_bias_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_02_bias_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_02_bias_high_mean.ticks.csv,240,True,True,True,True,True,True
seed42_02_bias_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_03_drift_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_03_drift_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_03_drift_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_04_drift_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_04_drift_high_mean.ticks.csv,240,True,True,True,True,True,True
seed42_04_drift_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_05_replay_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_05_replay_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_05_replay_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_06_replay_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_06_replay_high_mean.ticks.csv,240,True,True,True,True,True,True
seed42_06_replay_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_07_freeze_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_07_freeze_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_07_freeze_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_08_freeze_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_08_freeze_high_mean.ticks.csv,240,True,True,True,True,True,True
seed42_08_freeze_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_09_spike_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_09_spike_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_09_spike_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_10_spike_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_10_spike_high_mean.ticks.csv,240,True,True,True,True,True,True
