scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,1.0,0.6166666666666667,0.7316503450568228,0.0
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,1.0,1.0,0.885706398181517,0.0
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,1.0,1.0,0.8165671065630927,0.0
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,1.0083333333333333,0.575,0.7169826313513542,0.008333333333333333
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.867281571473503,0.0
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,1.0,1.0,0.8020202165237822,0.0
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,1.3041666666666667,0.49166666666666664,0.7001387128643363,0.35
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,1.0041666666666667,0.9625,0.8179292501741884,0.004166666666666667
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,1.1,0.9375,0.7734644598303132,0.10416666666666667
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,1.4,0.6125,0.7296095327681523,0.4
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,1.0,1.0,0.885706398181517,0.0
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,1.4,1.0,0.8140344965623377,0.4125
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,1.4083333333333334,0.5666666666666667,0.7154657320325597,0.42916666666666664
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.867281571473503,0.0
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,1.3958333333333333,1.0,0.8062614617855941,0.4583333333333333
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,1.5416666666666667,0.4791666666666667,0.6991401069287484,0.775
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,1.0041666666666667,0.9625,0.8179292501741884,0.004166666666666667
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,1.4541666666666666,0.9375,0.7813273417685506,0.5833333333333334
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,1.4,0.6208333333333333,0.7280812406685847,1.2
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,1.4,1.0,0.8851041343450047,0.4
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,1.4,1.0,0.8159149005533121,0.8583333333333333
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,1.4125,0.5708333333333333,0.7139424961509209,1.2625
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,1.4,0.9958333333333333,0.8673392752183209,0.4
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,1.4,1.0,0.8081178975952538,0.8958333333333334
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,1.5416666666666667,0.5,0.7015936688918035,1.7125
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,1.3958333333333333,0.9375,0.8180336040373785,0.4
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,1.4541666666666666,0.9375,0.7861110717589196,1.0458333333333334
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,1.4,0.6208333333333333,0.7295381623471991,1.6
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,1.4041666666666666,0.9666666666666667,0.8689929742636623,0.7333333333333333
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,1.4083333333333334,1.0,0.8248410478135921,1.3583333333333334
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,1.4125,0.5833333333333334,0.7157688045547045,1.7
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,1.3875,0.9333333333333333,0.8389798678178568,0.675
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,1.425,0.9958333333333333,0.8137942556152512,1.3666666666666667
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,1.5416666666666667,0.5125,0.7050288762881333,2.283333333333333
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,1.3583333333333334,0.8416666666666667,0.7730253393423775,0.5833333333333334
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,1.4958333333333333,0.925,0.7846711392539357,1.4958333333333333
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,1.675,0.6625,0.7244240076427865,1.9
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,1.4041666666666666,0.9666666666666667,0.8689929742636623,0.7333333333333333
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,1.6125,0.7416666666666667,0.724759231954961,1.25
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,1.6958333333333333,0.6125,0.7134273145510003,2.25
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,1.3875,0.9333333333333333,0.8389798678178568,0.675
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,1.6208333333333333,0.7375,0.7225796259782051,1.3916666666666666
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,1.725,0.5875,0.7047285828046725,2.875
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,1.3583333333333334,0.8416666666666667,0.7730253393423775,0.5833333333333334
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,full,101,bias,0.4,0.5,9,0.2,0.7,1.6458333333333333,0.7416666666666667,0.7269525993705076,1.6458333333333333
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,full,11,bias,0.0,0.1,13,0.2,0.7,1.0,0.6333333333333333,0.7326846019944117,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,full,11,bias,0.0,0.1,5,0.2,0.7,1.0,1.0,0.8850613277265076,0.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,full,11,bias,0.0,0.1,9,0.2,0.7,1.0,1.0,0.8165911570579494,0.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,full,11,bias,0.0,0.25,13,0.2,0.7,1.0125,0.6125,0.7200968118104195,0.0125
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,full,11,bias,0.0,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.8670661618588066,0.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,full,11,bias,0.0,0.25,9,0.2,0.7,1.0041666666666667,0.9958333333333333,0.8035126733781441,0.004166666666666667
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,full,11,bias,0.0,0.5,13,0.2,0.7,1.2583333333333333,0.5625,0.7037760999246269,0.3125
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,full,11,bias,0.0,0.5,5,0.2,0.7,1.0166666666666666,0.9708333333333333,0.8217030954303496,0.016666666666666666
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,full,11,bias,0.0,0.5,9,0.2,0.7,1.0666666666666667,0.9625,0.7729695467855209,0.07083333333333333
full_seed11_bias_0p1_noise0p1_s13_a0p2_b0p7,full,11,bias,0.1,0.1,13,0.2,0.7,1.4,0.6333333333333333,0.7308301361249737,0.4
full_seed11_bias_0p1_noise0p1_s5_a0p2_b0p7,full,11,bias,0.1,0.1,5,0.2,0.7,1.0,1.0,0.8850613277265076,0.0
full_seed11_bias_0p1_noise0p1_s9_a0p2_b0p7,full,11,bias,0.1,0.1,9,0.2,0.7,1.4,1.0,0.8123172426981424,0.4
full_seed11_bias_0p1_noise0p25_s13_a0p2_b0p7,full,11,bias,0.1,0.25,13,0.2,0.7,1.4083333333333334,0.6125,0.7180201201520668,0.4125
