scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,1.0958333333333334,0.0,0.4991901365284283,0.13333333333333333
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,1.0375,0.8916666666666667,0.7771980432237896,0.041666666666666664
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,1.0666666666666667,0.15416666666666667,0.6536324791015907,0.08333333333333333
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,1.4583333333333333,0.0,0.49134784164591555,0.6125
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,1.1083333333333334,0.7375,0.7493478059764258,0.11666666666666667
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,1.2625,0.17083333333333334,0.6467098229696224,0.3375
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,2.025,0.0125,0.5021589839615876,2.8041666666666667
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,1.4791666666666667,0.6166666666666667,0.7180153970263334,0.6125
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,1.8208333333333333,0.3416666666666667,0.6541872576829071,1.5
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,1.2125,0.0,0.47355578972037654,0.25833333333333336
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,1.0375,0.8916666666666667,0.7771980432237896,0.041666666666666664
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,1.1833333333333333,0.12083333333333333,0.6040809759333906,0.20833333333333334
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,1.5625,0.0,0.4693626640850823,0.8166666666666667
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,1.1083333333333334,0.7375,0.7493478059764258,0.11666666666666667
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,1.4041666666666666,0.14166666666666666,0.6057957588392391,0.525
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,2.0208333333333335,0.008333333333333333,0.477077827473182,2.9875
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,1.4791666666666667,0.6166666666666667,0.7180153970263334,0.6125
