scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,2.0375,0.2125,0.6154120947055214,2.2041666666666666
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,1.0416666666666667,0.8958333333333334,0.7778765535718084,0.05
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,1.6708333333333334,0.7916666666666666,0.7525204722430491,0.7625
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,2.245833333333333,0.4041666666666667,0.683356940746831,3.7
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,1.1416666666666666,0.7833333333333333,0.755016007182041,0.15416666666666667
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,1.7666666666666666,0.7416666666666667,0.749010025811955,1.0541666666666667
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,2.1708333333333334,0.5,0.7014891264983326,5.129166666666666
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,1.5166666666666666,0.7125,0.734864328703523,0.65
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,1.9416666666666667,0.725,0.7330677495002281,2.0
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,2.1083333333333334,0.19583333333333333,0.6108564754163335,2.8208333333333333
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,1.0416666666666667,0.8958333333333334,0.7778765535718084,0.05
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,1.7666666666666666,0.8208333333333333,0.7624066535802085,1.2625
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,2.2,0.4,0.685611248706435,4.241666666666666
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,1.1416666666666666,0.7833333333333333,0.755016007182041,0.15416666666666667
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,1.8416666666666666,0.7916666666666666,0.7558249406124627,1.55
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,2.1,0.4875,0.6902854808534609,5.333333333333333
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,1.5166666666666666,0.7125,0.734864328703523,0.65
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,1.9375,0.7458333333333333,0.7435369115434997,2.4916666666666667
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,1.9916666666666667,0.3125,0.6533437688887355,3.8333333333333335
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,1.4291666666666667,0.9125,0.7847478825225005,0.5125
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,1.7666666666666666,0.8375,0.773049011356472,1.8291666666666666
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,1.9375,0.2916666666666667,0.5991119367467962,3.6666666666666665
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,1.4541666666666666,0.7958333333333333,0.7570921810079532,0.5666666666666667
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,1.8416666666666666,0.8166666666666667,0.769134032134406,2.15
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,1.8541666666666667,0.3333333333333333,0.5724317398410261,4.1125
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,1.5958333333333334,0.6666666666666666,0.6971470842811911,0.8125
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,1.875,0.7333333333333333,0.7211914690651241,2.6958333333333333
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,1.8875,0.375,0.662543205450275,3.870833333333333
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,1.1625,0.6708333333333333,0.6600618851215309,0.3
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,1.7125,0.8,0.7611520611723263,2.175
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,1.8708333333333333,0.325,0.5853804325367185,3.4208333333333334
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,1.1833333333333333,0.5458333333333333,0.6196101959004229,0.2875
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,1.7458333333333333,0.725,0.7331644220409499,2.1958333333333333
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,1.7625,0.30833333333333335,0.5373081053054539,3.4916666666666667
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,1.375,0.475,0.5714506984066984,0.5166666666666667
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,1.725,0.5833333333333334,0.6404113068783678,2.183333333333333
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,1.9125,0.3875,0.6625971649155218,3.9125
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,1.1625,0.6708333333333333,0.6600618851215309,0.3
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,1.55,0.55,0.6259432218259956,1.1875
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,1.8291666666666666,0.30833333333333335,0.5691395091684938,3.1416666666666666
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,1.1833333333333333,0.5458333333333333,0.6196101959004229,0.2875
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,1.5916666666666666,0.5208333333333334,0.6134311218019872,1.3708333333333333
