scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,1.0,0.6166666666666667,0.7316503450568228,0.0
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,1.0,1.0,0.885706398181517,0.0
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,1.0,1.0,0.8165671065630927,0.0
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,1.0,0.5708333333333333,0.7165146728230357,0.0
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.867281571473503,0.0
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,1.0,1.0,0.8020202165237822,0.0
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,1.1583333333333334,0.45416666666666666,0.6915835190606209,0.175
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,1.0041666666666667,0.9625,0.8179292501741884,0.004166666666666667
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,1.0541666666666667,0.8958333333333334,0.7678894253132152,0.05416666666666667
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,1.3625,0.6,0.7248880205188297,0.3625
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,1.0,1.0,0.885706398181517,0.0
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,1.3041666666666667,0.9041666666666667,0.7967027125371667,0.30416666666666664
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,1.35,0.525,0.7080140162642319,0.35
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.867281571473503,0.0
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,1.2916666666666667,0.8875,0.7816596996488945,0.29583333333333334
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,1.4333333333333333,0.4125,0.683389349147712,0.5333333333333333
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,1.0041666666666667,0.9625,0.8179292501741884,0.004166666666666667
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,1.3208333333333333,0.7875,0.7513198093187955,0.3541666666666667
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,1.2041666666666666,0.44166666666666665,0.6453317532741113,0.3
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,1.2625,0.8625,0.8409389620318197,0.2625
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,1.2291666666666667,0.7166666666666667,0.7292843336304361,0.25833333333333336
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,1.3166666666666667,0.4166666666666667,0.6433276933264312,0.475
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,1.25,0.8458333333333333,0.8219027742207907,0.25
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,1.3083333333333333,0.7375,0.7293240247412983,0.3458333333333333
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,1.5666666666666667,0.3416666666666667,0.6366644720505614,0.9083333333333333
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,1.2583333333333333,0.8208333333333333,0.781717471001048,0.25833333333333336
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,1.4041666666666666,0.6708333333333333,0.7126377003799071,0.49166666666666664
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,1.0541666666666667,0.4166666666666667,0.6142211372744576,0.125
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,1.0458333333333334,0.6291666666666667,0.6983862739731584,0.058333333333333334
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,1.0333333333333334,0.6166666666666667,0.664583735974493,0.0625
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,1.1333333333333333,0.38333333333333336,0.606791139617067,0.25416666666666665
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,1.0625,0.6291666666666667,0.6903085631859899,0.08333333333333333
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,1.1083333333333334,0.6208333333333333,0.6626652605839358,0.16666666666666666
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,1.4625,0.30416666666666664,0.5968376931833161,0.7833333333333333
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,1.1833333333333333,0.6458333333333334,0.68257854525406,0.2125
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,1.3208333333333333,0.5666666666666667,0.655857755044994,0.45416666666666666
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,1.0375,0.42083333333333334,0.6036637567974262,0.12083333333333333
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,1.0458333333333334,0.6291666666666667,0.6983862739731584,0.058333333333333334
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,1.025,0.6041666666666666,0.6474806538102295,0.06666666666666667
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,1.05,0.38333333333333336,0.5908671775690962,0.1375
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,1.0625,0.6291666666666667,0.6903085631859899,0.08333333333333333
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,1.0625,0.6083333333333333,0.6417645799872979,0.11666666666666667
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,1.3958333333333333,0.3,0.5742784980773602,0.7041666666666667
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,1.1833333333333333,0.6458333333333334,0.68257854525406,0.2125
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,full,101,bias,0.4,0.5,9,0.2,0.7,1.2708333333333333,0.5375,0.6262908600460577,0.4166666666666667
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,full,11,bias,0.0,0.1,13,0.2,0.7,1.0,0.6333333333333333,0.7326846019944117,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,full,11,bias,0.0,0.1,5,0.2,0.7,1.0,1.0,0.8850613277265076,0.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,full,11,bias,0.0,0.1,9,0.2,0.7,1.0,1.0,0.8165911570579494,0.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,full,11,bias,0.0,0.25,13,0.2,0.7,1.0,0.6125,0.719529198785523,0.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,full,11,bias,0.0,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.8670661618588066,0.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,full,11,bias,0.0,0.25,9,0.2,0.7,1.0041666666666667,0.9958333333333333,0.8035126733781441,0.004166666666666667
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,full,11,bias,0.0,0.5,13,0.2,0.7,1.1541666666666666,0.5083333333333333,0.6966746840310475,0.16666666666666666
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,full,11,bias,0.0,0.5,5,0.2,0.7,1.0083333333333333,0.9625,0.8204247471853504,0.008333333333333333
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,full,11,bias,0.0,0.5,9,0.2,0.7,1.0375,0.9333333333333333,0.7697344691069133,0.0375
full_seed11_bias_0p1_noise0p1_s13_a0p2_b0p7,full,11,bias,0.1,0.1,13,0.2,0.7,1.375,0.6208333333333333,0.7273193230094664,0.375
full_seed11_bias_0p1_noise0p1_s5_a0p2_b0p7,full,11,bias,0.1,0.1,5,0.2,0.7,1.0,1.0,0.8850613277265076,0.0
