scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,1.0,0.6166666666666667,0.7316503450568228,0.0
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,1.0,1.0,0.885706398181517,0.0
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,1.0,1.0,0.8165671065630927,0.0
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,1.0,0.5708333333333333,0.7165146728230357,0.0
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.867281571473503,0.0
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,1.0,1.0,0.8020202165237822,0.0
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,1.1041666666666667,0.4375,0.6872024319611031,0.10833333333333334
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,1.0041666666666667,0.9625,0.8179292501741884,0.004166666666666667
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,1.0416666666666667,0.8833333333333333,0.7658701178291953,0.041666666666666664
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,1.025,0.4166666666666667,0.6886850813227916,0.025
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,1.0,1.0,0.885706398181517,0.0
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,1.0125,0.6125,0.7470830051265533,0.0125
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,1.0291666666666666,0.37916666666666665,0.6751344227351692,0.029166666666666667
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.867281571473503,0.0
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,1.0166666666666666,0.6208333333333333,0.7358978325068306,0.016666666666666666
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,1.1541666666666666,0.3,0.6505563137080307,0.1625
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,1.0041666666666667,0.9625,0.8179292501741884,0.004166666666666667
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,1.0916666666666666,0.5708333333333333,0.7105009916955045,0.09166666666666666
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,1.0375,0.4166666666666667,0.6287327173334699,0.07916666666666666
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,1.0125,0.6125,0.7555839874840458,0.0125
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,1.0166666666666666,0.6125,0.6960760305220357,0.029166666666666667
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,1.0416666666666667,0.38333333333333336,0.6163340918988799,0.08333333333333333
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,1.0166666666666666,0.6125,0.7441432433143214,0.016666666666666666
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,1.0208333333333333,0.6041666666666666,0.6857442149942803,0.03333333333333333
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,1.1791666666666667,0.2916666666666667,0.5923400638401067,0.24166666666666667
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,1.0416666666666667,0.6125,0.7152824937255805,0.041666666666666664
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,1.0958333333333334,0.5333333333333333,0.661669638636459,0.11666666666666667
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,1.0375,0.4166666666666667,0.6110119680511299,0.1
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,1.0166666666666666,0.6125,0.6904988566394844,0.029166666666666667
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,1.0208333333333333,0.6125,0.6628591395312419,0.04583333333333333
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,1.0458333333333334,0.37916666666666665,0.5982845520127036,0.10416666666666667
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,1.0166666666666666,0.6083333333333333,0.6788833690224816,0.029166666666666667
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,1.0208333333333333,0.6041666666666666,0.6522776563387337,0.041666666666666664
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,1.2,0.2916666666666667,0.5747072895512875,0.2791666666666667
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,1.0416666666666667,0.5875,0.6502592324113495,0.05
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,1.1,0.5291666666666667,0.629136596988069,0.12916666666666668
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,1.0416666666666667,0.4166666666666667,0.6021909793028423,0.125
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,1.0166666666666666,0.6125,0.6904988566394844,0.029166666666666667
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,1.0208333333333333,0.6041666666666666,0.6469417682155302,0.05416666666666667
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,1.0416666666666667,0.37916666666666665,0.5891253463717923,0.125
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,1.0166666666666666,0.6083333333333333,0.6788833690224816,0.029166666666666667
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,1.0166666666666666,0.6,0.6364064531695637,0.05
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,1.1875,0.2916666666666667,0.564452446874121,0.3
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,1.0416666666666667,0.5875,0.6502592324113495,0.05
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,full,101,bias,0.4,0.5,9,0.2,0.7,1.1125,0.525,0.6130654367881065,0.1625
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,full,11,bias,0.0,0.1,13,0.2,0.7,1.0,0.6333333333333333,0.7326846019944117,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,full,11,bias,0.0,0.1,5,0.2,0.7,1.0,1.0,0.8850613277265076,0.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,full,11,bias,0.0,0.1,9,0.2,0.7,1.0,1.0,0.8165911570579494,0.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,full,11,bias,0.0,0.25,13,0.2,0.7,1.0,0.6125,0.719529198785523,0.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,full,11,bias,0.0,0.25,5,0.2,0.7,1.0,0.9958333333333333,0.8670661618588066,0.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,full,11,bias,0.0,0.25,9,0.2,0.7,1.0,0.9916666666666667,0.8029833232672784,0.0
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,full,11,bias,0.0,0.5,13,0.2,0.7,1.0875,0.49166666666666664,0.6925992823181437,0.09166666666666666
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,full,11,bias,0.0,0.5,5,0.2,0.7,1.0083333333333333,0.9625,0.8199534520612866,0.008333333333333333
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,full,11,bias,0.0,0.5,9,0.2,0.7,1.0208333333333333,0.9166666666666666,0.7676664029502064,0.020833333333333332
full_seed11_bias_0p1_noise0p1_s13_a0p2_b0p7,full,11,bias,0.1,0.1,13,0.2,0.7,1.0291666666666666,0.43333333333333335,0.6901584644173798,0.029166666666666667
full_seed11_bias_0p1_noise0p1_s5_a0p2_b0p7,full,11,bias,0.1,0.1,5,0.2,0.7,1.0,1.0,0.8850613277265076,0.0
full_seed11_bias_0p1_noise0p1_s9_a0p2_b0p7,full,11,bias,0.1,0.1,9,0.2,0.7,1.0166666666666666,0.6166666666666667,0.74780819941602,0.016666666666666666
