artifact,cell_or_series,source_family,cases,display_precision,before,after,delta,before_display,after_display,changes_at_display_precision
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=scaling; p95_absolute_error,main_campaign,270,3,2.3879397084825693,2.3879397084825693,0.0,2.388,2.388,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=scaling; rmse,main_campaign,270,3,1.7050448691772093,1.7050448691772093,0.0,1.705,1.705,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=spike; mae,main_campaign,270,3,1.5644959840366326,1.5651910705540844,0.0006950865174517595,1.564,1.565,True
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=spike; max_absolute_error,main_campaign,270,3,3.1126146310903358,3.1113977514674205,-0.001216879622915279,3.113,3.111,True
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=spike; median_absolute_error,main_campaign,270,3,1.4518271187080174,1.4521727106935303,0.00034559198551287196,1.452,1.452,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=spike; p95_absolute_error,main_campaign,270,3,2.735518687217668,2.736210235323151,0.0006915481054829975,2.736,2.736,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=spike; rmse,main_campaign,270,3,1.7052443224489602,1.7060792792104882,0.0008349567615280051,1.705,1.706,True
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.0; mae,main_campaign,378,4,1.606579391609211,1.606579391609211,0.0,1.6066,1.6066,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.0; max_absolute_error,main_campaign,378,4,2.5720216185623537,2.5720216185623537,0.0,2.5720,2.5720,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.0; median_absolute_error,main_campaign,378,4,1.5368600265228802,1.5368600265228802,0.0,1.5369,1.5369,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.0; p95_absolute_error,main_campaign,378,4,2.3405933502544753,2.3405933502544753,0.0,2.3406,2.3406,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.0; rmse,main_campaign,378,4,1.6801997503496158,1.6801997503496158,0.0,1.6802,1.6802,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.1; mae,main_campaign,378,4,1.5931408328490408,1.5931408328490408,0.0,1.5931,1.5931,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.1; max_absolute_error,main_campaign,378,4,2.5674478905516427,2.5674478905516427,0.0,2.5674,2.5674,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.1; median_absolute_error,main_campaign,378,4,1.530887059770151,1.530887059770151,0.0,1.5309,1.5309,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.1; p95_absolute_error,main_campaign,378,4,2.331448993714479,2.331448993714479,0.0,2.3314,2.3314,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.1; rmse,main_campaign,378,4,1.665209645994426,1.665209645994426,0.0,1.6652,1.6652,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.2; mae,main_campaign,378,4,1.5662243313946926,1.5662243313946926,0.0,1.5662,1.5662,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.2; max_absolute_error,main_campaign,378,4,2.6245830786526025,2.6245830786526025,0.0,2.6246,2.6246,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.2; median_absolute_error,main_campaign,378,4,1.500238275939577,1.500238275939577,0.0,1.5002,1.5002,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.2; p95_absolute_error,main_campaign,378,4,2.341329439329018,2.341329439329018,0.0,2.3413,2.3413,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.2; rmse,main_campaign,378,4,1.6424965202118929,1.6424965202118929,0.0,1.6425,1.6425,False
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.3; mae,main_campaign,378,4,1.6254932526086674,1.6259170592611216,0.00042380665245422833,1.6255,1.6259,True
fig_mae_vs_beta,FPR--OWA by attack ratio; attack_ratio=0.3; max_absolute_error,main_campaign,378,4,3.040879150261096,3.0412587995398614,0.0003796492787655481,3.0409,3.0413,True
