family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed101_mixed_0p4_noise0p1_s5_a0p2_b0p7,rmse,2.204702021039805,2.1996147127127217,-0.005087308327083484,True
main_campaign,full_seed101_mixed_0p4_noise0p1_s5_a0p2_b0p7,p95_absolute_error,3.9357769354509475,3.9287123460654056,-0.007064589385541886,True
main_campaign,full_seed101_mixed_0p4_noise0p1_s5_a0p3_b0p8,mae,1.8365286300269044,1.8357711873717626,-0.0007574426551417712,True
main_campaign,full_seed101_mixed_0p4_noise0p1_s5_a0p3_b0p8,rmse,1.963463070934977,1.961891462230734,-0.0015716087042429994,True
main_campaign,full_seed101_mixed_0p4_noise0p25_s5_a0p2_b0p7,mae,1.949624370527818,1.9590027144490885,0.00937834392127046,True
main_campaign,full_seed101_mixed_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.1441825911682693,2.1583410395155362,0.014158448347266983,True
main_campaign,full_seed101_mixed_0p4_noise0p25_s5_a0p2_b0p7,p95_absolute_error,3.73796389595335,3.8136961486584164,0.07573225270506656,True
main_campaign,full_seed101_mixed_0p4_noise0p25_s5_a0p3_b0p8,mae,1.792901155175003,1.8013351132187292,0.008433958043726264,True
main_campaign,full_seed101_mixed_0p4_noise0p25_s5_a0p3_b0p8,rmse,1.9228719938453505,1.9299813738696137,0.007109380024263201,True
main_campaign,full_seed101_mixed_0p4_noise0p25_s5_a0p3_b0p8,median_absolute_error,1.6571281922560255,1.6678480317974596,0.010719839541434073,True
main_campaign,full_seed101_mixed_0p4_noise0p5_s5_a0p2_b0p7,mae,1.924634228683022,1.9249283565920918,0.0002941279090697968,False
main_campaign,full_seed101_mixed_0p4_noise0p5_s5_a0p2_b0p7,rmse,2.1381927289812843,2.138425155677128,0.00023242669584355724,False
main_campaign,full_seed101_mixed_0p4_noise0p5_s5_a0p2_b0p7,median_absolute_error,1.7271524480821738,1.730337144014598,0.0031846959324242086,True
main_campaign,full_seed101_mixed_0p4_noise0p5_s5_a0p3_b0p8,mae,1.7799397803895203,1.7800868443440552,0.0001470639545348984,False
main_campaign,full_seed101_mixed_0p4_noise0p5_s5_a0p3_b0p8,rmse,1.9230977293220113,1.9231086324862299,1.0903164218589723e-05,False
main_campaign,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,mae,2.0459419884601413,2.0584452024122672,0.012503213952125947,True
main_campaign,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,rmse,2.4071527746269226,2.4240631325992656,0.016910357972343082,True
