family,case,tick,exact_tie,tie_distinct_measurements,order_changed,aggregate_delta
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p3_b0p8,161,True,True,True,3.193006312995799
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p3_b0p8,178,True,True,True,-0.0917128970444887
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p2_b0p7,142,True,True,True,-6.470590698176745
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p3_b0p8,142,True,True,True,-3.235295349088373
main_campaign,full_seed11_bias_0p3_noise0p25_s5_a0p2_b0p7,161,True,True,True,0.13732562990760222
main_campaign,full_seed11_bias_0p3_noise0p25_s5_a0p3_b0p8,161,True,True,True,0.06866281495380111
main_campaign,full_seed11_bias_0p4_noise0p25_s5_a0p2_b0p7,161,True,True,True,0.13732562990760222
main_campaign,full_seed11_bias_0p4_noise0p25_s5_a0p3_b0p8,161,True,True,True,0.06866281495380111
main_campaign,full_seed11_drift_0p3_noise0p25_s5_a0p2_b0p7,161,True,True,True,0.13732562990760266
main_campaign,full_seed11_drift_0p3_noise0p25_s5_a0p3_b0p8,161,True,True,True,0.06866281495380111
main_campaign,full_seed11_drift_0p4_noise0p25_s5_a0p2_b0p7,161,True,True,True,0.13732562990760266
main_campaign,full_seed11_drift_0p4_noise0p25_s5_a0p3_b0p8,161,True,True,True,0.06866281495380111
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.16322093701258567
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.08161046850629283
main_campaign,full_seed11_mixed_0p3_noise0p25_s5_a0p2_b0p7,150,True,True,True,0.04276238892585926
main_campaign,full_seed11_mixed_0p3_noise0p25_s5_a0p3_b0p8,150,True,True,True,0.02138119446292963
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.16322093701258567
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.08161046850629283
main_campaign,full_seed11_mixed_0p4_noise0p25_s5_a0p2_b0p7,150,True,True,True,0.04276238892585926
main_campaign,full_seed11_mixed_0p4_noise0p25_s5_a0p3_b0p8,150,True,True,True,0.02138119446292963
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,94,True,True,True,0.22783418286224322
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,104,True,True,True,6.5858981787056425
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.16322093701258567
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,161,True,True,True,0.06481679838719057
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,164,True,True,True,6.440647604222498
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,166,True,True,True,-6.450911585726171
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,94,True,True,True,0.11391709143112161
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,104,True,True,True,3.292949089352822
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.08161046850629283
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,161,True,True,True,0.03240839919359573
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,164,True,True,True,3.2203238021112495
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,166,True,True,True,-3.2254557928630856
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p2_b0p7,104,True,True,True,-0.020611351285574564
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p2_b0p7,105,True,True,True,0.01980963528396651
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p2_b0p7,169,True,True,True,0.01112946742761245
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p3_b0p8,104,True,True,True,0.0
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p3_b0p8,105,True,True,True,0.0
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p3_b0p8,169,True,True,True,0.0
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p2_b0p7,150,True,True,True,6.4427623889258605
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p2_b0p7,161,True,True,True,0.13732562990760222
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p3_b0p8,150,True,True,True,3.2213811944629307
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p3_b0p8,161,True,True,True,0.06866281495380111
main_campaign,full_seed11_spike_0p3_noise0p25_s9_a0p2_b0p7,169,True,True,True,0.015524249378423394
main_campaign,full_seed11_spike_0p3_noise0p25_s9_a0p3_b0p8,169,True,True,True,0.0
