family,metric,before,after,delta,display_3dp_changed
corrected_crp,mae,1.6115707216497899,1.6115605312815393,-1.0190368250562187e-05,False
corrected_crp,max_absolute_error,2.775260832818364,2.775276148682235,1.5315863870934976e-05,False
corrected_crp,median_absolute_error,1.54567016301252,1.5455240093361868,-0.00014615367633319387,False
corrected_crp,p95_absolute_error,2.422969984935609,2.422932869846073,-3.7115089535966206e-05,False
corrected_crp,rmse,1.6940819818750843,1.6940681794627728,-1.3802412311525458e-05,False
corrected_fpr_single,mae,1.617131463152357,1.6173010980662217,0.00016963491386468021,False
corrected_fpr_single,max_absolute_error,2.8345366573489628,2.8346885897849843,0.00015193243602151796,False
corrected_fpr_single,median_absolute_error,1.5437288373124456,1.5438178152149162,8.897790247064385e-05,False
corrected_fpr_single,p95_absolute_error,2.4846694526211976,2.484878895110282,0.00020944248908438823,False
corrected_fpr_single,rmse,1.7070886685561222,1.7072910367974503,0.00020236824132813247,False
historical_fpr_ablation,mae,1.6161688906686942,1.6163368372308757,0.00016794656218155346,False
historical_fpr_ablation,max_absolute_error,2.8337906034585387,2.8339410237330696,0.00015042027453082696,False
historical_fpr_ablation,median_absolute_error,1.5425220324036883,1.5426101247220065,8.80923183181892e-05,False
historical_fpr_ablation,p95_absolute_error,2.483875791096662,2.484083149035042,0.000207357938380337,False
historical_fpr_ablation,rmse,1.7062448068683527,1.7064451609679394,0.00020035409958674144,False
main_campaign,mae,1.617131463152357,1.6173010980662217,0.00016963491386468021,False
main_campaign,max_absolute_error,2.8345366573489628,2.8346885897849843,0.00015193243602151796,False
main_campaign,median_absolute_error,1.5437288373124456,1.5438178152149162,8.897790247064385e-05,False
main_campaign,p95_absolute_error,2.4846694526211976,2.484878895110282,0.00020944248908438823,False
main_campaign,rmse,1.7070886685561222,1.7072910367974503,0.00020236824132813247,False
robust_extension,mae,1.614116622995006,1.6141902835764463,7.366058144042675e-05,False
robust_extension,max_absolute_error,2.822713250020754,2.822156030263099,-0.000557219757655325,True
robust_extension,median_absolute_error,1.5453400490074707,1.545348619850537,8.570843066380007e-06,False
robust_extension,p95_absolute_error,2.47474195107355,2.4747246800966805,-1.7270976869543375e-05,False
robust_extension,rmse,1.7046575490113847,1.7047323645982233,7.481558683863909e-05,False
thermal_pilot,mae,0.08441978858715381,0.08441663763262884,-3.1509545249663873e-06,False
thermal_pilot,max_absolute_error,0.3314140510072274,0.3314140510072274,0.0,False
thermal_pilot,median_absolute_error,0.06972816952453628,0.06970292628285668,-2.5243241679601125e-05,False
thermal_pilot,p95_absolute_error,0.20744385160222506,0.2072905112782405,-0.0001533403239845632,False
thermal_pilot,rmse,0.10670284900442745,0.10670686594513948,4.016940712031625e-06,False
