seed,scenario_index,attack,intensity,condition,tick,true_temperature_c,estimate_c,estimator_error_c,ambient_c,load_c_per_step,fan_before,fan_after,executed_action,action_source,verifier_accepted,rejection_reasons,fallback,anomaly_count,confidence,predicted_candidate_next_c,predicted_maintain_next_c,next_true_temperature_c,crp_rounds,crp_converged,crp_excluded,crp_latency_seconds,runtime_step_latency_seconds,attack_active
101,4,drift,high,fpr_crp,0,30.0,29.99727437381879,-0.0027256261812098614,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9718815794653979,29.937492423913284,29.937492423913284,29.94136634224294,1,True,0,0.0002770889550447464,0.0001803385093808174,False
101,4,drift,high,fpr_crp,1,29.94136634224294,29.996255866111166,0.05488952386822632,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9428115115516695,29.93655539682227,29.93655539682227,29.910841180047818,1,True,0,0.00019749626517295837,0.00014237500727176666,False
101,4,drift,high,fpr_crp,2,29.910841180047818,29.9913920165633,0.08055083651548145,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9656735340887516,29.932080655238234,29.932080655238234,29.9043391030903,1,True,0,0.00016939081251621246,0.00012899469584226608,False
101,4,drift,high,fpr_crp,3,29.9043391030903,29.93740687356762,0.033067770477320124,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9657806182678392,29.88241432368221,29.88241432368221,29.889378415814846,1,True,0,0.00016101263463497162,0.00012080278247594833,False
101,4,drift,high,fpr_crp,4,29.889378415814846,29.942495649761042,0.05311723394619605,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9375781893197552,29.887095997780158,29.887095997780158,29.867523903412135,1,True,0,0.00016410928219556808,0.00012330524623394012,False
101,4,drift,high,fpr_crp,5,29.867523903412135,29.855444128739148,-0.012079774672987043,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9511297074208025,29.807008598440014,29.807008598440014,29.86847751251647,1,True,0,0.000158749520778656,0.00011844653636217117,False
101,4,drift,high,fpr_crp,6,29.86847751251647,29.788367828839256,-0.0801096836772146,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.957368613312974,29.745298402532114,29.745298402532114,29.826845829654697,1,True,0,0.00015422049909830093,0.00013368111103773117,False
101,4,drift,high,fpr_crp,7,29.826845829654697,29.780612978107563,-0.04623285154713486,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9469378832302,29.738163939858957,29.738163939858957,29.828533031928384,1,True,0,0.00019030366092920303,0.00012996606528759003,False
101,4,drift,high,fpr_crp,8,29.828533031928384,29.793608308565037,-0.03492472336334629,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.943963416304562,29.75011964387983,29.75011964387983,29.81016453383898,1,True,0,0.000171697698533535,0.00013026781380176544,False
101,4,drift,high,fpr_crp,9,29.81016453383898,29.85338572021731,0.04322118637833228,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9516292294411345,29.805114862599925,29.805114862599925,29.804787588066496,1,True,0,0.00016380473971366882,0.0001299520954489708,False
