seed,scenario_index,attack,intensity,condition,tick,true_temperature_c,estimate_c,estimator_error_c,ambient_c,load_c_per_step,fan_before,fan_after,executed_action,action_source,verifier_accepted,rejection_reasons,fallback,anomaly_count,confidence,predicted_candidate_next_c,predicted_maintain_next_c,next_true_temperature_c,crp_rounds,crp_converged,crp_excluded,crp_latency_seconds,runtime_step_latency_seconds,attack_active
11,14,stuck,high,fpr_crp,0,30.0,30.07165044613812,0.07165044613811844,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9765960741696674,30.005918410447066,30.005918410447066,30.00739888805678,1,True,0,0.0002950560301542282,0.00019632093608379364,False
11,14,stuck,high,fpr_crp,1,30.00739888805678,30.048231832729392,0.040832944672612115,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9660600480502168,29.98437328611104,29.98437328611104,29.978680612572504,1,True,0,0.00020818784832954407,0.00014832988381385803,False
11,14,stuck,high,fpr_crp,2,29.978680612572504,30.037556755151208,0.058876142578704105,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9415536713886861,29.97455221473911,29.97455221473911,29.935401360621587,1,True,0,0.00019878987222909927,0.0001492118462920189,False
11,14,stuck,high,fpr_crp,3,29.935401360621587,30.02451177668254,0.08911041606095438,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9470484288800536,29.962550834547937,29.962550834547937,29.944910333232425,1,True,0,0.00018214620649814606,0.00014347676187753677,False
11,14,stuck,high,fpr_crp,4,29.944910333232425,29.920651648734765,-0.02425868449766,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9309504734338989,29.866999516835982,29.866999516835982,29.92577651861008,1,True,0,0.00017452798783779144,0.0001337435096502304,False
11,14,stuck,high,fpr_crp,5,29.92577651861008,29.977698543183283,0.05192202457320505,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9591625693780235,29.91948265972862,29.91948265972862,29.915138432426225,1,True,0,0.00016797613352537155,0.00012843217700719833,False
11,14,stuck,high,fpr_crp,6,29.915138432426225,29.836843828108695,-0.07829460431753077,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9313536037178513,29.789896321859995,29.789896321859995,29.88777826241884,1,True,0,0.00016735587269067764,0.00013240519911050797,False
11,14,stuck,high,fpr_crp,7,29.88777826241884,29.709289929505807,-0.1784883329130338,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9171157037475464,29.672546735145342,29.672546735145342,29.885917485783526,1,True,0,0.00017531495541334152,0.0001455359160900116,False
11,14,stuck,high,fpr_crp,8,29.885917485783526,29.797344794716413,-0.08857269106711385,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9571089967973179,29.753557211139096,29.753557211139096,29.88718164991676,1,True,0,0.00017761904746294022,0.00013524293899536133,False
11,14,stuck,high,fpr_crp,9,29.88718164991676,29.875841240723013,-0.011340409193746126,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9333293848304225,29.82577394146517,29.82577394146517,29.911406125230272,1,True,0,0.00017307233065366745,0.00014605559408664703,False
11,14,stuck,high,fpr_crp,10,29.911406125230272,29.818873444979534,-0.0925326802507378,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9446587233453538,29.773363569381168,29.773363569381168,29.939609683109584,1,True,0,0.0001808255910873413,0.00014730729162693024,False
11,14,stuck,high,fpr_crp,11,29.939609683109584,29.728443723168017,-0.2111659599415674,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9491957383115004,29.690168225314572,29.690168225314572,29.9220564975187,1,True,0,0.00017860624939203262,0.0001369556412100792,False
11,14,stuck,high,fpr_crp,12,29.9220564975187,29.952745900323787,0.030689402805087695,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9373585681317643,29.896526228297883,29.896526228297883,29.877190619352984,1,True,0,0.00017336290329694748,0.00014215800911188126,False
11,14,stuck,high,fpr_crp,13,29.877190619352984,29.97914628481484,0.10195566546185475,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9508657700511591,29.92081458202965,29.92081458202965,29.868949923235967,1,True,0,0.00016886182129383087,0.00012997351586818695,False
11,14,stuck,high,fpr_crp,14,29.868949923235967,29.810960952193444,-0.05798897104252276,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9445297917815968,29.766084076017965,29.766084076017965,29.832217014606552,1,True,0,0.00019044894725084305,0.00012998469173908234,False
11,14,stuck,high,fpr_crp,15,29.832217014606552,29.840378764501228,0.008161749894675552,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9586893937420098,29.79314846334113,29.79314846334113,29.80383567635302,1,True,0,0.00018068961799144745,0.00012911763042211533,False
11,14,stuck,high,fpr_crp,16,29.80383567635302,29.77953125948794,-0.02430441686508189,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9285829451183497,29.737168758728902,29.737168758728902,29.79117535881015,1,True,0,0.00017511658370494843,0.00012836232781410217,False
11,14,stuck,high,fpr_crp,17,29.79117535881015,29.852162213065807,0.0609868542556562,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9480911405448106,29.80398923602054,29.80398923602054,29.760209408816994,1,True,0,0.0001793336123228073,0.00013360660523176193,False
11,14,stuck,high,fpr_crp,18,29.760209408816994,29.855509761235624,0.09530035241862933,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.956256003361563,29.807068980336773,29.807068980336773,29.777098517210163,1,True,0,0.00018731970340013504,0.00012935325503349304,False
11,14,stuck,high,fpr_crp,19,29.777098517210163,29.646922253198326,-0.1301762640118369,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9632178734385053,29.615168472942457,29.615168472942457,29.773616138555713,1,True,0,0.0001691756770014763,0.00012831855565309525,False
11,14,stuck,high,fpr_crp,20,29.773616138555713,29.79631568918647,0.022699550630758125,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9498466588104265,29.75261043405155,29.75261043405155,29.777554106259725,1,True,0,0.00016425177454948425,0.0001304931938648224,False
11,14,stuck,high,fpr_crp,21,29.777554106259725,29.630793996888894,-0.14676010937083106,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.931818762393217,29.60033047713778,29.60033047713778,29.775214839380666,1,True,0,0.00020362529903650284,0.00013111531734466553,False
11,14,stuck,high,fpr_crp,22,29.775214839380666,29.886500826351124,0.11128598697045788,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9597862029703601,29.835580760243033,29.835580760243033,29.774886382806844,1,True,0,0.0001781778410077095,0.00012941192835569382,False
11,14,stuck,high,fpr_crp,23,29.774886382806844,29.827256225979543,0.05236984317269844,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9525052499918932,29.78107572790118,29.78107572790118,29.761106351436585,1,True,0,0.0001738211140036583,0.0001282729208469391,False
11,14,stuck,high,fpr_crp,24,29.761106351436585,29.59174423856737,-0.16936211286921576,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9556579097101321,29.564404699481976,29.564404699481976,29.743568038921538,1,True,0,0.00018536578863859177,0.00014374591410160065,False
11,14,stuck,high,fpr_crp,25,29.743568038921538,29.629374134108446,-0.11419390481309222,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9560414283839549,29.599024203379766,29.599024203379766,29.74013485378462,1,True,0,0.0001726718619465828,0.00013262871652841568,False
11,14,stuck,high,fpr_crp,26,29.74013485378462,29.712426970962017,-0.027707882822603835,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9486186982522474,29.675432813285052,29.675432813285052,29.727134323724762,1,True,0,0.0001695733517408371,0.00012983940541744232,False
11,14,stuck,high,fpr_crp,27,29.727134323724762,29.67254826830379,-0.05458605542097317,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9560220695665872,29.638744406839482,29.638744406839482,29.715992935179333,1,True,0,0.00018623750656843185,0.00013991445302963257,False
11,14,stuck,high,fpr_crp,28,29.715992935179333,29.630159137161275,-0.0858337980180579,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9510004285833004,29.59974640618837,29.59974640618837,29.729810566630782,1,True,0,0.0001794900745153427,0.00013298913836479187,False
