seed,scenario_index,attack,intensity,condition,tick,true_temperature_c,estimate_c,estimator_error_c,ambient_c,load_c_per_step,fan_before,fan_after,executed_action,action_source,verifier_accepted,rejection_reasons,fallback,anomaly_count,confidence,predicted_candidate_next_c,predicted_maintain_next_c,next_true_temperature_c,crp_rounds,crp_converged,crp_excluded,crp_latency_seconds,runtime_step_latency_seconds,attack_active
101,7,freeze,low,fpr_crp,0,30.0,29.954960542651207,-0.045039457348792666,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9771558470200671,29.89856369923911,29.89856369923911,29.956670018420937,1,True,0,0.00027194060385227203,0.00019057095050811768,False
101,7,freeze,low,fpr_crp,1,29.956670018420937,29.79167407084309,-0.16499594757784664,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9542876635911759,29.74834014517564,29.74834014517564,29.944317126512395,1,True,0,0.00018707197159528732,0.0001337723806500435,False
101,7,freeze,low,fpr_crp,2,29.944317126512395,29.858278936833162,-0.0860381896792326,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9486751209555252,29.80961662188651,29.80961662188651,29.94751887080647,1,True,0,0.00017695408314466476,0.0001377929002046585,False
101,7,freeze,low,fpr_crp,3,29.94751887080647,29.82336163118643,-0.12415723962003966,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9594499730596797,29.777492700691514,29.777492700691514,29.914087412355883,1,True,0,0.00017607491463422775,0.0001267697662115097,False
101,7,freeze,low,fpr_crp,4,29.914087412355883,29.99726049599033,0.08317308363444553,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9215782296262722,29.9374796563111,29.9374796563111,29.91010212714013,1,True,0,0.00016309041529893875,0.00012166053056716919,False
101,7,freeze,low,fpr_crp,5,29.91010212714013,29.875915278177168,-0.03418684896296398,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.96330100731167,29.82584205592299,29.82584205592299,29.899674459177422,1,True,0,0.000157846137881279,0.0001227203756570816,False
101,7,freeze,low,fpr_crp,6,29.899674459177422,29.773204951050886,-0.12646950812653657,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9424297375071744,29.731348554966814,29.731348554966814,29.906492692119965,1,True,0,0.00015616882592439651,0.00013303570449352264,False
101,7,freeze,low,fpr_crp,7,29.906492692119965,29.864335305973675,-0.04215738614628961,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9710590140221201,29.81518848149578,29.81518848149578,29.901229899016236,1,True,0,0.00017774105072021484,0.00012392085045576096,False
101,7,freeze,low,fpr_crp,8,29.901229899016236,29.88112658022829,-0.020103318787946023,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9280508464333912,29.830636453810026,29.830636453810026,29.864653397945343,1,True,0,0.0001667458564043045,0.0001230333000421524,False
101,7,freeze,low,fpr_crp,9,29.864653397945343,29.917761827523552,0.05310842957820938,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9729879125945067,29.864340881321667,29.864340881321667,29.883837839564016,1,True,0,0.0001624850556254387,0.00012484285980463028,False
101,7,freeze,low,fpr_crp,10,29.883837839564016,29.76630729896295,-0.11753054060106649,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9575633514178945,29.72500271504591,29.72500271504591,29.861732848383454,1,True,0,0.00018910691142082214,0.00012132246047258377,False
101,7,freeze,low,fpr_crp,11,29.861732848383454,29.76930499103147,-0.09242785735198566,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9479705915968878,29.72776059174895,29.72776059174895,29.834975839564837,1,True,0,0.00017121341079473495,0.000117449089884758,False
101,7,freeze,low,fpr_crp,12,29.834975839564837,29.763912220301943,-0.07106361926289395,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9529439998026201,29.722799242677787,29.722799242677787,29.80508547288516,1,True,0,0.00016740988940000534,0.0001267334446310997,False
101,7,freeze,low,fpr_crp,13,29.80508547288516,29.83170702932366,0.026621556438499283,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9475678636946776,29.785170466977764,29.785170466977764,29.790255461796868,1,True,0,0.0001598745584487915,0.00011443905532360077,False
101,7,freeze,low,fpr_crp,14,29.790255461796868,29.864660066472347,0.07440460467547894,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9498807784522977,29.81548726115456,29.81548726115456,29.790698374651804,1,True,0,0.00016399379819631577,0.00013418029993772507,False
101,7,freeze,low,fpr_crp,15,29.790698374651804,29.63580489463437,-0.15489348001743508,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9359770699344696,29.604940503063617,29.604940503063617,29.78667745243819,1,True,0,0.0001602591946721077,0.00012235622853040695,False
101,7,freeze,low,fpr_crp,16,29.78667745243819,29.705147788822273,-0.08152966361591751,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9659024803804345,29.66873596571649,29.66873596571649,29.80180491397553,1,True,0,0.0001745196059346199,0.00012193992733955383,False
101,7,freeze,low,fpr_crp,17,29.80180491397553,29.692832960319887,-0.10897195365564372,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9347848672226403,29.657406323494293,29.657406323494293,29.838498276932576,1,True,0,0.00015809480100870132,0.00012496300041675568,False
101,7,freeze,low,fpr_crp,18,29.838498276932576,29.974717335518285,0.13621905858570926,26.0,0.7,0.5,0.5,maintain,supervisor,True,,,0,0.9375852763340833,29.91673994867682,29.91673994867682,29.84686219755182,1,True,0,0.00017362460494041443,0.00012096762657165527,False
