scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,fpr_owa,1.2005996835464343,1.2492934636752335,1.1936329513941824,1.6485568056889095,1.7438379620698026,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,crp,1.1825557907885904,1.2324980636639864,1.1883887828454387,1.6351360506736372,1.7438379620698026,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,fpr_owa,1.459851850307026,1.5405262522493737,1.4105131735776282,2.0889440810659385,2.241185361713773,0.8
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,crp,1.434485622039244,1.5225323622648246,1.4105131735776282,2.073122202032268,2.181969193839938,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,crp,1.7587191427573452,1.8279315922680333,1.6580754871331331,2.478776962659818,2.623309323256321,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,crp,1.7576196903288013,1.83513931190991,1.6530875409769834,2.4983351938516227,2.5856445900776754,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,fpr_owa,1.7649217452909671,1.8188107961041775,1.6358181714411566,2.402411083444426,2.5208303773184952,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,crp,1.791042618601847,1.8502128722888596,1.6393827613214005,2.460950017182902,2.610549938187463,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,fpr_owa,1.748512793146674,1.822359247104944,1.6160641797705488,2.483087558392486,2.621842066792208,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,crp,1.756931787082291,1.8331284734185969,1.6158505451348346,2.49784532771223,2.6618823388689026,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,fpr_owa,1.236562460285135,1.2956308708465365,1.2044535377120542,1.82105823882284,1.93807001433504,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,crp,1.270077130974486,1.3571627089611598,1.2378014201952676,2.0725488015062066,2.628365108033018,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,fpr_owa,1.4423166327854453,1.5394491390162115,1.4096630712143363,2.215127343217554,2.402718544702593,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,crp,1.462666684601818,1.580296713693436,1.4277093765336877,2.3488232896955634,2.6697658848292622,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,fpr_owa,1.7336143413815548,1.8099001257236491,1.6922920438569655,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,crp,1.731931381371912,1.8077389836604123,1.6744679092833217,2.580396054162711,2.7327033676123493,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,fpr_owa,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,crp,1.7318347184026683,1.8115453112045925,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,fpr_owa,1.7298027951227697,1.795488778870893,1.6024240184477152,2.4398284480022494,2.632631395399988,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,crp,1.7477814380319148,1.817162501384307,1.6565002007154437,2.50115858431544,2.768295989237876,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,fpr_owa,1.7256608562942817,1.7990798317672998,1.6358554405371024,2.4886343819454897,2.781453042917504,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,crp,1.737270398847357,1.8151787441274672,1.6085728558567252,2.538747606846316,2.8349452536308344,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,fpr_owa,1.2839222170748892,1.3602123416225274,1.240801419563994,2.046768449975125,2.3782249001293287,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,crp,1.3881865249819056,1.510392987899879,1.3037547752973664,2.3536832105739096,2.812980634622892,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,fpr_owa,1.3542700790443412,1.4646362664908377,1.2917001243824369,2.3401931281901307,2.585645126688344,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,crp,1.44941731331605,1.5862425503141964,1.3811347162236791,2.4516108784997765,2.8380710262795814,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,fpr_owa,1.709271226509631,1.8044491280747168,1.6461929187271442,2.6895015239178703,3.020868080479137,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,crp,1.704904968845661,1.7943797433233368,1.660360018104232,2.686365356708609,2.989870491384264,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,fpr_owa,1.703342370087818,1.80311874125599,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,crp,1.7039444052046424,1.804263630405566,1.670756656205128,2.714984723815591,3.089570498033422,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,fpr_owa,1.70044414129838,1.7783768765686925,1.641228448021633,2.5752813313069827,2.867533613785253,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,crp,1.6958711466043332,1.7768093927831563,1.6254716078446974,2.5860100340330816,2.913863489780311,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,fpr_owa,1.6909088150660572,1.7716248152131142,1.5885115885765302,2.610265449817572,3.033435246204024,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,crp,1.6920193218645811,1.7800792205229572,1.6131695632850764,2.595553278000863,2.95793722166679,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,fpr_owa,1.0945410120562316,1.1370475865085845,1.099567270216335,1.5976442639919717,1.7056900502596406,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,crp,1.1191161869512845,1.170099063053143,1.1442528410755326,1.5442063031436342,1.7056900502596406,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,fpr_owa,1.3699493307176762,1.438702433970864,1.348074613276969,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,crp,1.3779340792137698,1.4664412981023156,1.3855193271683046,2.007874941191323,2.125866301146382,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,crp,1.7587191427573452,1.8279315922680333,1.6580754871331331,2.478776962659818,2.623309323256321,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,crp,1.7576196903288013,1.83513931190991,1.6530875409769834,2.4983351938516227,2.5856445900776754,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,fpr_owa,1.7131557465842209,1.7607889024167125,1.6216881717871552,2.3895547005391755,2.6068524826656265,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,crp,1.7936272984347104,1.8523691120303805,1.6483817319253722,2.4676824574607137,2.586173033493206,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,fpr_owa,1.744239095612078,1.810534899220776,1.6160641797705488,2.4780983731805595,2.539427961443164,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,crp,1.7573886637303735,1.8353277692779997,1.6066528986338084,2.500754317727976,2.705140084821005,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,fpr_owa,1.134370672004685,1.184962124752771,1.1262025979673025,1.75234456813075,1.93807001433504,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,crp,1.2206358055033195,1.3104843832259898,1.1922998991831255,2.0255578203686406,2.628365108033018,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,fpr_owa,1.3606577430636164,1.4449374455091757,1.3149504072830376,2.148530051422654,2.348715633380049,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,crp,1.4070377794767324,1.529868800296636,1.347066543681145,2.2834224356416435,2.6697658848292622,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,fpr_owa,1.7336143413815548,1.8099001257236491,1.6922920438569655,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,crp,1.731931381371912,1.8077389836604123,1.6744679092833217,2.580396054162711,2.7327033676123493,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,fpr_owa,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,crp,1.7318347184026683,1.8115453112045925,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,fpr_owa,1.6879290218740823,1.7475129365778548,1.5943346499091635,2.411736744351193,2.5823984057279774,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,crp,1.7574864804619,1.8280977095779976,1.6851188900824754,2.509314067828802,2.860812493993147,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,fpr_owa,1.725427253212176,1.7956921250954652,1.611748537758249,2.453655764154209,2.671886585904733,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,crp,1.7347260540315834,1.8146970686081905,1.60683885296766,2.539736531770922,2.78689095783464,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,fpr_owa,1.2072584099527317,1.273721972248634,1.164900758904721,1.8874874349884891,2.221630566581403,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,crp,1.3629403176137178,1.492585923496749,1.2507890521719098,2.3727677227444484,2.7972124435405337,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,fpr_owa,1.325444308251786,1.4215220887269708,1.2768421337661944,2.1780102585617818,2.4987166291150835,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,crp,1.4239418327715323,1.567615798266904,1.343969517147129,2.449576769515656,2.827849050662566,0.8
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,101,bias,0.1,0.5,5,0.2,fpr_owa,1.709271226509631,1.8044491280747168,1.6461929187271442,2.6895015239178703,3.020868080479137,0.7
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,101,bias,0.1,0.5,5,0.2,crp,1.704904968845661,1.7943797433233368,1.660360018104232,2.686365356708609,2.989870491384264,0.7
full_seed101_bias_0p1_noise0p5_s5_a0p3_b0p8,101,bias,0.1,0.5,5,0.3,fpr_owa,1.703342370087818,1.80311874125599,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
full_seed101_bias_0p1_noise0p5_s5_a0p3_b0p8,101,bias,0.1,0.5,5,0.3,crp,1.7039444052046424,1.804263630405566,1.670756656205128,2.714984723815591,3.089570498033422,0.8
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,101,bias,0.1,0.5,9,0.2,fpr_owa,1.6740815376245135,1.7484949178543567,1.5876695195774304,2.4759125240650213,2.774723130858848,0.7
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,101,bias,0.1,0.5,9,0.2,crp,1.703068057587555,1.7852323596639272,1.6491037541772653,2.5866425386307994,2.8852227707199742,0.7
full_seed101_bias_0p1_noise0p5_s9_a0p3_b0p8,101,bias,0.1,0.5,9,0.3,fpr_owa,1.7002527703064454,1.7793274287900822,1.6326205385463677,2.60260037386507,2.899386382569466,0.8
full_seed101_bias_0p1_noise0p5_s9_a0p3_b0p8,101,bias,0.1,0.5,9,0.3,crp,1.7077713573431832,1.7947778478494842,1.6640296197158433,2.6378697954639727,2.95793722166679,0.8
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,101,bias,0.2,0.1,13,0.2,fpr_owa,0.9798105620883404,1.0403060853043713,0.8891274085871712,1.5976442639919717,1.7056900502596406,0.7
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,101,bias,0.2,0.1,13,0.2,crp,0.9373349681237024,1.0201378329585813,0.9417269268387496,1.5542919754586515,1.7056900502596406,0.7
full_seed101_bias_0p2_noise0p1_s13_a0p3_b0p8,101,bias,0.2,0.1,13,0.3,fpr_owa,1.145571566714465,1.247681749391894,1.0099968070706522,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p2_noise0p1_s13_a0p3_b0p8,101,bias,0.2,0.1,13,0.3,crp,1.0000239444155463,1.1771709918729385,0.9543785596748552,2.00664658196328,2.125866301146382,0.8
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,101,bias,0.2,0.1,5,0.2,fpr_owa,1.7137869759559945,1.7795393424278434,1.6009027411088603,2.4449080454817262,2.605168287783102,0.7
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,101,bias,0.2,0.1,5,0.2,crp,1.752862549817659,1.828167552203701,1.6641897770674212,2.5290909530926844,2.684404463869879,0.7
full_seed101_bias_0p2_noise0p1_s5_a0p3_b0p8,101,bias,0.2,0.1,5,0.3,fpr_owa,1.7465013778979313,1.815729063950368,1.646020178650197,2.4769472000329715,2.5855766739862327,0.8
full_seed101_bias_0p2_noise0p1_s5_a0p3_b0p8,101,bias,0.2,0.1,5,0.3,crp,1.7570438386956972,1.8383830366099223,1.672261206263562,2.533564838037124,2.7177483177364645,0.8
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,101,bias,0.2,0.1,9,0.2,fpr_owa,1.6229969839786564,1.6731800006743869,1.5098584284162573,2.3802103808800967,2.504841460449386,0.7
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,101,bias,0.2,0.1,9,0.2,crp,1.8113741633355136,1.8786372592567169,1.677123382830099,2.534095539578375,2.9629772751693184,0.7
full_seed101_bias_0p2_noise0p1_s9_a0p3_b0p8,101,bias,0.2,0.1,9,0.3,fpr_owa,1.666878832051958,1.729147550283599,1.5638040939910431,2.4709163614723675,2.539427961443164,0.8
full_seed101_bias_0p2_noise0p1_s9_a0p3_b0p8,101,bias,0.2,0.1,9,0.3,crp,1.753427577384984,1.8303656305786211,1.6531175659168502,2.505919241240382,2.697888484334974,0.8
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,101,bias,0.2,0.25,13,0.2,fpr_owa,1.002751431652364,1.0771860368329285,0.925067235325392,1.7598419083712806,1.93807001433504,0.7
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,101,bias,0.2,0.25,13,0.2,crp,1.0302906694516745,1.1438654290206791,0.9966775716351044,1.8608279540619168,2.628365108033018,0.7
full_seed101_bias_0p2_noise0p25_s13_a0p3_b0p8,101,bias,0.2,0.25,13,0.3,fpr_owa,1.138027277995512,1.2464620970861282,0.9999972206977612,2.148530051422654,2.348715633380049,0.8
full_seed101_bias_0p2_noise0p25_s13_a0p3_b0p8,101,bias,0.2,0.25,13,0.3,crp,1.1035253689206206,1.2895419029389892,1.0212273089194717,2.2054773726415204,2.6697658848292622,0.8
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,101,bias,0.2,0.25,5,0.2,fpr_owa,1.693356201101288,1.7643673400350972,1.5924318401393318,2.4945243726440607,2.713322161879084,0.7
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,101,bias,0.2,0.25,5,0.2,crp,1.7242119673976697,1.8024131636940928,1.6643325460676126,2.5535926924191634,2.713322161879084,0.7
full_seed101_bias_0p2_noise0p25_s5_a0p3_b0p8,101,bias,0.2,0.25,5,0.3,fpr_owa,1.7268151803120182,1.8003055069833422,1.6325889233925834,2.533361552251704,2.767724316695624,0.8
full_seed101_bias_0p2_noise0p25_s5_a0p3_b0p8,101,bias,0.2,0.25,5,0.3,crp,1.730270126941042,1.8116593482848609,1.6548274204695437,2.5655841337265,2.9238099157501027,0.8
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,101,bias,0.2,0.25,9,0.2,fpr_owa,1.624887379113754,1.6896756969515827,1.5147816129314686,2.4324882517854496,3.0701399908280944,0.7
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,101,bias,0.2,0.25,9,0.2,crp,1.7616468235695708,1.8370718712497376,1.6906766524636396,2.5739277300976062,3.0945323200422266,0.7
full_seed101_bias_0p2_noise0p25_s9_a0p3_b0p8,101,bias,0.2,0.25,9,0.3,fpr_owa,1.663161673497533,1.730350536258689,1.538752725886162,2.4317161055377188,2.741795684953831,0.8
full_seed101_bias_0p2_noise0p25_s9_a0p3_b0p8,101,bias,0.2,0.25,9,0.3,crp,1.7267947248776812,1.8078190203489048,1.63430107604754,2.546299832454796,2.777957677026927,0.8
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,101,bias,0.2,0.5,13,0.2,fpr_owa,1.0745553698992794,1.1698901230622811,1.0294662004766575,1.8718843985509568,2.3691642861580315,0.7
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,101,bias,0.2,0.5,13,0.2,crp,1.2449364725089922,1.4114665379778468,1.1081128372210522,2.3880952171513847,4.422530907311397,0.7
full_seed101_bias_0p2_noise0p5_s13_a0p3_b0p8,101,bias,0.2,0.5,13,0.3,fpr_owa,1.1324984301331535,1.244175371475511,1.033924722124861,2.1256516406144925,3.033902587784595,0.8
full_seed101_bias_0p2_noise0p5_s13_a0p3_b0p8,101,bias,0.2,0.5,13,0.3,crp,1.2604889050640806,1.4488651738870824,1.142424155379473,2.443948434320715,4.393531566074949,0.8
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,101,bias,0.2,0.5,5,0.2,fpr_owa,1.67296640555292,1.7598802145444017,1.5775002723468172,2.558268149259076,3.020868080479137,0.7
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,101,bias,0.2,0.5,5,0.2,crp,1.6895654048475257,1.7795812303529115,1.6480402712409,2.6704666715919347,2.989870491384264,0.7
full_seed101_bias_0p2_noise0p5_s5_a0p3_b0p8,101,bias,0.2,0.5,5,0.3,fpr_owa,1.712722644043706,1.8042581463980296,1.651041500278442,2.6756641174090787,3.089570498033422,0.8
full_seed101_bias_0p2_noise0p5_s5_a0p3_b0p8,101,bias,0.2,0.5,5,0.3,crp,1.713089349687481,1.8119104298994224,1.6880973322839692,2.714984723815591,3.089570498033422,0.8
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,101,bias,0.2,0.5,9,0.2,fpr_owa,1.643418115654815,1.732407798037465,1.5408889685436915,2.625378007415964,3.585793215755493,0.7
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,101,bias,0.2,0.5,9,0.2,crp,1.7155861506953818,1.798377167424991,1.6579063381663528,2.54952851704625,2.8852227707199742,0.7
full_seed101_bias_0p2_noise0p5_s9_a0p3_b0p8,101,bias,0.2,0.5,9,0.3,fpr_owa,1.6566365984650242,1.7360025869996492,1.5631541072171211,2.584237882047676,2.964108270147804,0.8
full_seed101_bias_0p2_noise0p5_s9_a0p3_b0p8,101,bias,0.2,0.5,9,0.3,crp,1.705013670898829,1.792599217772071,1.6581654692823875,2.62485073228445,2.95793722166679,0.8
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,101,bias,0.3,0.1,13,0.2,fpr_owa,1.195270206395294,1.2273574111018626,1.1999700094968535,1.603376899036027,1.7056900502596406,0.7
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,101,bias,0.3,0.1,13,0.2,crp,0.9966885952542446,1.1402066541668343,1.0158600326229674,1.6367323678889305,3.1260452163374244,0.7
full_seed101_bias_0p3_noise0p1_s13_a0p3_b0p8,101,bias,0.3,0.1,13,0.3,fpr_owa,1.0472724382639464,1.1939398766951272,0.8911459995950823,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p3_noise0p1_s13_a0p3_b0p8,101,bias,0.3,0.1,13,0.3,crp,0.955329020836069,1.1588398262392758,0.9254482206792118,1.9950495695702188,2.125866301146382,0.8
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,101,bias,0.3,0.1,5,0.2,fpr_owa,2.30536101452348,2.4712255721894447,2.3481020394723235,3.857129154402629,4.021662643008527,0.7
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,101,bias,0.3,0.1,5,0.2,crp,2.0997670614308075,2.2823873327018167,1.9861840749825816,3.890973561343059,5.777555260682504,0.7
full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,101,bias,0.3,0.1,5,0.3,fpr_owa,1.9995824487508471,2.0956040140571544,1.977457959384276,3.102679330001708,3.2707927675086617,0.8
full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,101,bias,0.3,0.1,5,0.3,crp,1.932743653129088,2.078492663334476,1.8551400612003563,3.092812471329515,5.984057584881502,0.8
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,101,bias,0.3,0.1,9,0.2,fpr_owa,1.9339695944024529,1.9961326502195809,1.936366117463456,2.728483033155865,2.8856628646521503,0.7
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,101,bias,0.3,0.1,9,0.2,crp,1.9648867279163151,2.112735141581384,1.6925198094271443,3.7114222267926977,5.166227441643034,0.7
full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,101,bias,0.3,0.1,9,0.3,fpr_owa,1.629053715424894,1.6904873805080467,1.5177154006771214,2.4709163614723675,2.539427961443164,0.8
full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,101,bias,0.3,0.1,9,0.3,crp,1.8151123601132892,1.9318542840039843,1.6172800718314744,2.896488635895588,5.200026273745473,0.8
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,101,bias,0.3,0.25,13,0.2,fpr_owa,1.2117147620169,1.2538455678435625,1.208536474943161,1.7632989542236357,2.2648107955012766,0.7
