scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_bias_0p1_noise0p5_s5_a0p3_b0p8,101,bias,0.1,0.5,5,0.3,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.8
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,101,bias,0.1,0.5,9,0.2,1.3208333333333333,0.7875,0.7513198093187955,0.3541666666666667,0.7
full_seed101_bias_0p1_noise0p5_s9_a0p3_b0p8,101,bias,0.1,0.5,9,0.3,1.3208333333333333,0.7875,0.7513198093187955,0.3541666666666667,0.8
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,101,bias,0.2,0.1,13,0.2,1.2041666666666666,0.4416666666666666,0.6453317532741113,0.3,0.7
full_seed101_bias_0p2_noise0p1_s13_a0p3_b0p8,101,bias,0.2,0.1,13,0.3,1.2041666666666666,0.4416666666666666,0.6453317532741113,0.3,0.8
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,101,bias,0.2,0.1,5,0.2,1.2625,0.8625,0.8409389620318197,0.2625,0.7
full_seed101_bias_0p2_noise0p1_s5_a0p3_b0p8,101,bias,0.2,0.1,5,0.3,1.2625,0.8625,0.8409389620318197,0.2625,0.8
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,101,bias,0.2,0.1,9,0.2,1.2291666666666667,0.7166666666666667,0.7292843336304361,0.2583333333333333,0.7
full_seed101_bias_0p2_noise0p1_s9_a0p3_b0p8,101,bias,0.2,0.1,9,0.3,1.2291666666666667,0.7166666666666667,0.7292843336304361,0.2583333333333333,0.8
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,101,bias,0.2,0.25,13,0.2,1.3166666666666669,0.4166666666666667,0.6433276933264312,0.475,0.7
full_seed101_bias_0p2_noise0p25_s13_a0p3_b0p8,101,bias,0.2,0.25,13,0.3,1.3166666666666669,0.4166666666666667,0.6433276933264312,0.475,0.8
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,101,bias,0.2,0.25,5,0.2,1.25,0.8458333333333333,0.8219027742207907,0.25,0.7
full_seed101_bias_0p2_noise0p25_s5_a0p3_b0p8,101,bias,0.2,0.25,5,0.3,1.25,0.8458333333333333,0.8219027742207907,0.25,0.8
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,101,bias,0.2,0.25,9,0.2,1.3083333333333331,0.7375,0.7293240247412983,0.3458333333333333,0.7
full_seed101_bias_0p2_noise0p25_s9_a0p3_b0p8,101,bias,0.2,0.25,9,0.3,1.3083333333333331,0.7375,0.7293240247412983,0.3458333333333333,0.8
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,101,bias,0.2,0.5,13,0.2,1.5666666666666669,0.3416666666666667,0.6366644720505614,0.9083333333333332,0.7
full_seed101_bias_0p2_noise0p5_s13_a0p3_b0p8,101,bias,0.2,0.5,13,0.3,1.5666666666666669,0.3416666666666667,0.6366644720505614,0.9083333333333332,0.8
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,101,bias,0.2,0.5,5,0.2,1.2583333333333333,0.8208333333333333,0.781717471001048,0.2583333333333333,0.7
full_seed101_bias_0p2_noise0p5_s5_a0p3_b0p8,101,bias,0.2,0.5,5,0.3,1.2583333333333333,0.8208333333333333,0.781717471001048,0.2583333333333333,0.8
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,101,bias,0.2,0.5,9,0.2,1.4041666666666666,0.6708333333333333,0.7126377003799071,0.4916666666666666,0.7
full_seed101_bias_0p2_noise0p5_s9_a0p3_b0p8,101,bias,0.2,0.5,9,0.3,1.4041666666666666,0.6708333333333333,0.7126377003799071,0.4916666666666666,0.8
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,101,bias,0.3,0.1,13,0.2,1.0541666666666667,0.4166666666666667,0.6142211372744576,0.125,0.7
full_seed101_bias_0p3_noise0p1_s13_a0p3_b0p8,101,bias,0.3,0.1,13,0.3,1.0541666666666667,0.4166666666666667,0.6142211372744576,0.125,0.8
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,101,bias,0.3,0.1,5,0.2,1.0458333333333334,0.6291666666666667,0.6983862739731584,0.0583333333333333,0.7
full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,101,bias,0.3,0.1,5,0.3,1.0458333333333334,0.6291666666666667,0.6983862739731584,0.0583333333333333,0.8
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,101,bias,0.3,0.1,9,0.2,1.0333333333333334,0.6166666666666667,0.664583735974493,0.0625,0.7
full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,101,bias,0.3,0.1,9,0.3,1.0333333333333334,0.6166666666666667,0.664583735974493,0.0625,0.8
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,101,bias,0.3,0.25,13,0.2,1.1333333333333333,0.3833333333333333,0.606791139617067,0.2541666666666666,0.7
full_seed101_bias_0p3_noise0p25_s13_a0p3_b0p8,101,bias,0.3,0.25,13,0.3,1.1333333333333333,0.3833333333333333,0.606791139617067,0.2541666666666666,0.8
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,101,bias,0.3,0.25,5,0.2,1.0625,0.6291666666666667,0.6903085631859899,0.0833333333333333,0.7
full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,101,bias,0.3,0.25,5,0.3,1.0625,0.6291666666666667,0.6903085631859899,0.0833333333333333,0.8
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,101,bias,0.3,0.25,9,0.2,1.1083333333333334,0.6208333333333333,0.6626652605839358,0.1666666666666666,0.7
full_seed101_bias_0p3_noise0p25_s9_a0p3_b0p8,101,bias,0.3,0.25,9,0.3,1.1083333333333334,0.6208333333333333,0.6626652605839358,0.1666666666666666,0.8
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,101,bias,0.3,0.5,13,0.2,1.4625,0.3041666666666666,0.5968376931833161,0.7833333333333333,0.7
full_seed101_bias_0p3_noise0p5_s13_a0p3_b0p8,101,bias,0.3,0.5,13,0.3,1.4625,0.3041666666666666,0.5968376931833161,0.7833333333333333,0.8
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,101,bias,0.3,0.5,5,0.2,1.1833333333333331,0.6458333333333334,0.68257854525406,0.2125,0.7
full_seed101_bias_0p3_noise0p5_s5_a0p3_b0p8,101,bias,0.3,0.5,5,0.3,1.1833333333333331,0.6458333333333334,0.68257854525406,0.2125,0.8
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,101,bias,0.3,0.5,9,0.2,1.3208333333333333,0.5666666666666667,0.655857755044994,0.4541666666666666,0.7
full_seed101_bias_0p3_noise0p5_s9_a0p3_b0p8,101,bias,0.3,0.5,9,0.3,1.3208333333333333,0.5666666666666667,0.655857755044994,0.4541666666666666,0.8
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,101,bias,0.4,0.1,13,0.2,1.0375,0.4208333333333333,0.6036637567974262,0.1208333333333333,0.7
full_seed101_bias_0p4_noise0p1_s13_a0p3_b0p8,101,bias,0.4,0.1,13,0.3,1.0375,0.4208333333333333,0.6036637567974262,0.1208333333333333,0.8
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,101,bias,0.4,0.1,5,0.2,1.0458333333333334,0.6291666666666667,0.6983862739731584,0.0583333333333333,0.7
full_seed101_bias_0p4_noise0p1_s5_a0p3_b0p8,101,bias,0.4,0.1,5,0.3,1.0458333333333334,0.6291666666666667,0.6983862739731584,0.0583333333333333,0.8
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,101,bias,0.4,0.1,9,0.2,1.025,0.6041666666666666,0.6474806538102295,0.0666666666666666,0.7
full_seed101_bias_0p4_noise0p1_s9_a0p3_b0p8,101,bias,0.4,0.1,9,0.3,1.025,0.6041666666666666,0.6474806538102295,0.0666666666666666,0.8
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,101,bias,0.4,0.25,13,0.2,1.05,0.3833333333333333,0.5908671775690962,0.1375,0.7
full_seed101_bias_0p4_noise0p25_s13_a0p3_b0p8,101,bias,0.4,0.25,13,0.3,1.05,0.3833333333333333,0.5908671775690962,0.1375,0.8
