scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,2.0375,0.2125,0.6154120947055214,2.2041666666666666,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,2.0375,0.2125,0.6154120947055214,2.2041666666666666,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,1.0416666666666667,0.8958333333333334,0.7778765535718084,0.05,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,1.0416666666666667,0.8958333333333334,0.7778765535718084,0.05,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,1.6708333333333334,0.7916666666666666,0.7525204722430491,0.7625,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,1.6708333333333334,0.7916666666666666,0.7525204722430491,0.7625,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,2.245833333333333,0.4041666666666667,0.683356940746831,3.7,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,2.245833333333333,0.4041666666666667,0.683356940746831,3.7,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,1.1416666666666666,0.7833333333333333,0.755016007182041,0.1541666666666666,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,1.1416666666666666,0.7833333333333333,0.755016007182041,0.1541666666666666,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,1.7666666666666666,0.7416666666666667,0.749010025811955,1.0541666666666667,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,1.7666666666666666,0.7416666666666667,0.749010025811955,1.0541666666666667,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,2.1708333333333334,0.5,0.7014891264983326,5.129166666666666,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,2.1708333333333334,0.5,0.7014891264983326,5.129166666666666,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,1.5166666666666666,0.7125,0.734864328703523,0.65,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,1.5166666666666666,0.7125,0.734864328703523,0.65,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,1.9416666666666669,0.725,0.7330677495002281,2.0,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,1.9416666666666669,0.725,0.7330677495002281,2.0,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,2.1083333333333334,0.1958333333333333,0.6108564754163335,2.8208333333333333,0.7
