scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,1.0958333333333334,0.0,0.4991901365284283,0.1333333333333333,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,1.0958333333333334,0.0,0.4991901365284283,0.1333333333333333,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,1.0375,0.8916666666666667,0.7771980432237896,0.0416666666666666,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,1.0375,0.8916666666666667,0.7771980432237896,0.0416666666666666,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,1.0666666666666669,0.1541666666666666,0.6536324791015907,0.0833333333333333,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,1.0666666666666669,0.1541666666666666,0.6536324791015907,0.0833333333333333,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,1.4583333333333333,0.0,0.4913478416459155,0.6125,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,1.4583333333333333,0.0,0.4913478416459155,0.6125,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,1.1083333333333334,0.7375,0.7493478059764258,0.1166666666666666,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,1.1083333333333334,0.7375,0.7493478059764258,0.1166666666666666,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,1.2625,0.1708333333333333,0.6467098229696224,0.3375,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,1.2625,0.1708333333333333,0.6467098229696224,0.3375,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,2.025,0.0125,0.5021589839615876,2.8041666666666667,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,2.025,0.0125,0.5021589839615876,2.8041666666666667,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,1.4791666666666667,0.6166666666666667,0.7180153970263334,0.6125,0.7
