scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_bias_0p1_noise0p5_s5_a0p3_b0p8,101,bias,0.1,0.5,5,0.3,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.8
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,101,bias,0.1,0.5,9,0.2,1.0916666666666666,0.5708333333333333,0.7105009916955045,0.0916666666666666,0.7
full_seed101_bias_0p1_noise0p5_s9_a0p3_b0p8,101,bias,0.1,0.5,9,0.3,1.0916666666666666,0.5708333333333333,0.7105009916955045,0.0916666666666666,0.8
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,101,bias,0.2,0.1,13,0.2,1.0375,0.4166666666666667,0.6287327173334699,0.0791666666666666,0.7
full_seed101_bias_0p2_noise0p1_s13_a0p3_b0p8,101,bias,0.2,0.1,13,0.3,1.0375,0.4166666666666667,0.6287327173334699,0.0791666666666666,0.8
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,101,bias,0.2,0.1,5,0.2,1.0125,0.6125,0.7555839874840458,0.0125,0.7
full_seed101_bias_0p2_noise0p1_s5_a0p3_b0p8,101,bias,0.2,0.1,5,0.3,1.0125,0.6125,0.7555839874840458,0.0125,0.8
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,101,bias,0.2,0.1,9,0.2,1.0166666666666666,0.6125,0.6960760305220357,0.0291666666666666,0.7
full_seed101_bias_0p2_noise0p1_s9_a0p3_b0p8,101,bias,0.2,0.1,9,0.3,1.0166666666666666,0.6125,0.6960760305220357,0.0291666666666666,0.8
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,101,bias,0.2,0.25,13,0.2,1.0416666666666667,0.3833333333333333,0.6163340918988799,0.0833333333333333,0.7
full_seed101_bias_0p2_noise0p25_s13_a0p3_b0p8,101,bias,0.2,0.25,13,0.3,1.0416666666666667,0.3833333333333333,0.6163340918988799,0.0833333333333333,0.8
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,101,bias,0.2,0.25,5,0.2,1.0166666666666666,0.6125,0.7441432433143214,0.0166666666666666,0.7
full_seed101_bias_0p2_noise0p25_s5_a0p3_b0p8,101,bias,0.2,0.25,5,0.3,1.0166666666666666,0.6125,0.7441432433143214,0.0166666666666666,0.8
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,101,bias,0.2,0.25,9,0.2,1.0208333333333333,0.6041666666666666,0.6857442149942803,0.0333333333333333,0.7
full_seed101_bias_0p2_noise0p25_s9_a0p3_b0p8,101,bias,0.2,0.25,9,0.3,1.0208333333333333,0.6041666666666666,0.6857442149942803,0.0333333333333333,0.8
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,101,bias,0.2,0.5,13,0.2,1.1791666666666667,0.2916666666666667,0.5923400638401067,0.2416666666666666,0.7
full_seed101_bias_0p2_noise0p5_s13_a0p3_b0p8,101,bias,0.2,0.5,13,0.3,1.1791666666666667,0.2916666666666667,0.5923400638401067,0.2416666666666666,0.8
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,101,bias,0.2,0.5,5,0.2,1.0416666666666667,0.6125,0.7152824937255805,0.0416666666666666,0.7
full_seed101_bias_0p2_noise0p5_s5_a0p3_b0p8,101,bias,0.2,0.5,5,0.3,1.0416666666666667,0.6125,0.7152824937255805,0.0416666666666666,0.8
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,101,bias,0.2,0.5,9,0.2,1.0958333333333334,0.5333333333333333,0.661669638636459,0.1166666666666666,0.7
full_seed101_bias_0p2_noise0p5_s9_a0p3_b0p8,101,bias,0.2,0.5,9,0.3,1.0958333333333334,0.5333333333333333,0.661669638636459,0.1166666666666666,0.8
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,101,bias,0.3,0.1,13,0.2,1.0375,0.4166666666666667,0.6110119680511299,0.1,0.7
full_seed101_bias_0p3_noise0p1_s13_a0p3_b0p8,101,bias,0.3,0.1,13,0.3,1.0375,0.4166666666666667,0.6110119680511299,0.1,0.8
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,101,bias,0.3,0.1,5,0.2,1.0166666666666666,0.6125,0.6904988566394844,0.0291666666666666,0.7
full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,101,bias,0.3,0.1,5,0.3,1.0166666666666666,0.6125,0.6904988566394844,0.0291666666666666,0.8
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,101,bias,0.3,0.1,9,0.2,1.0208333333333333,0.6125,0.6628591395312419,0.0458333333333333,0.7
full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,101,bias,0.3,0.1,9,0.3,1.0208333333333333,0.6125,0.6628591395312419,0.0458333333333333,0.8
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,101,bias,0.3,0.25,13,0.2,1.0458333333333334,0.3791666666666666,0.5982845520127036,0.1041666666666666,0.7
full_seed101_bias_0p3_noise0p25_s13_a0p3_b0p8,101,bias,0.3,0.25,13,0.3,1.0458333333333334,0.3791666666666666,0.5982845520127036,0.1041666666666666,0.8
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,101,bias,0.3,0.25,5,0.2,1.0166666666666666,0.6083333333333333,0.6788833690224816,0.0291666666666666,0.7
full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,101,bias,0.3,0.25,5,0.3,1.0166666666666666,0.6083333333333333,0.6788833690224816,0.0291666666666666,0.8
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,101,bias,0.3,0.25,9,0.2,1.0208333333333333,0.6041666666666666,0.6522776563387337,0.0416666666666666,0.7
full_seed101_bias_0p3_noise0p25_s9_a0p3_b0p8,101,bias,0.3,0.25,9,0.3,1.0208333333333333,0.6041666666666666,0.6522776563387337,0.0416666666666666,0.8
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,101,bias,0.3,0.5,13,0.2,1.2,0.2916666666666667,0.5747072895512875,0.2791666666666667,0.7
full_seed101_bias_0p3_noise0p5_s13_a0p3_b0p8,101,bias,0.3,0.5,13,0.3,1.2,0.2916666666666667,0.5747072895512875,0.2791666666666667,0.8
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,101,bias,0.3,0.5,5,0.2,1.0416666666666667,0.5875,0.6502592324113495,0.05,0.7
full_seed101_bias_0p3_noise0p5_s5_a0p3_b0p8,101,bias,0.3,0.5,5,0.3,1.0416666666666667,0.5875,0.6502592324113495,0.05,0.8
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,101,bias,0.3,0.5,9,0.2,1.1,0.5291666666666667,0.629136596988069,0.1291666666666666,0.7
full_seed101_bias_0p3_noise0p5_s9_a0p3_b0p8,101,bias,0.3,0.5,9,0.3,1.1,0.5291666666666667,0.629136596988069,0.1291666666666666,0.8
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,101,bias,0.4,0.1,13,0.2,1.0416666666666667,0.4166666666666667,0.6021909793028423,0.125,0.7
full_seed101_bias_0p4_noise0p1_s13_a0p3_b0p8,101,bias,0.4,0.1,13,0.3,1.0416666666666667,0.4166666666666667,0.6021909793028423,0.125,0.8
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,101,bias,0.4,0.1,5,0.2,1.0166666666666666,0.6125,0.6904988566394844,0.0291666666666666,0.7
full_seed101_bias_0p4_noise0p1_s5_a0p3_b0p8,101,bias,0.4,0.1,5,0.3,1.0166666666666666,0.6125,0.6904988566394844,0.0291666666666666,0.8
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,101,bias,0.4,0.1,9,0.2,1.0208333333333333,0.6041666666666666,0.6469417682155302,0.0541666666666666,0.7
full_seed101_bias_0p4_noise0p1_s9_a0p3_b0p8,101,bias,0.4,0.1,9,0.3,1.0208333333333333,0.6041666666666666,0.6469417682155302,0.0541666666666666,0.8
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,101,bias,0.4,0.25,13,0.2,1.0416666666666667,0.3791666666666666,0.5891253463717923,0.125,0.7
full_seed101_bias_0p4_noise0p25_s13_a0p3_b0p8,101,bias,0.4,0.25,13,0.3,1.0416666666666667,0.3791666666666666,0.5891253463717923,0.125,0.8
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,101,bias,0.4,0.25,5,0.2,1.0166666666666666,0.6083333333333333,0.6788833690224816,0.0291666666666666,0.7
full_seed101_bias_0p4_noise0p25_s5_a0p3_b0p8,101,bias,0.4,0.25,5,0.3,1.0166666666666666,0.6083333333333333,0.6788833690224816,0.0291666666666666,0.8
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,101,bias,0.4,0.25,9,0.2,1.0166666666666666,0.6,0.6364064531695637,0.05,0.7
full_seed101_bias_0p4_noise0p25_s9_a0p3_b0p8,101,bias,0.4,0.25,9,0.3,1.0166666666666666,0.6,0.6364064531695637,0.05,0.8
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,101,bias,0.4,0.5,13,0.2,1.1875,0.2916666666666667,0.564452446874121,0.3,0.7
full_seed101_bias_0p4_noise0p5_s13_a0p3_b0p8,101,bias,0.4,0.5,13,0.3,1.1875,0.2916666666666667,0.564452446874121,0.3,0.8
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,101,bias,0.4,0.5,5,0.2,1.0416666666666667,0.5875,0.6502592324113495,0.05,0.7
full_seed101_bias_0p4_noise0p5_s5_a0p3_b0p8,101,bias,0.4,0.5,5,0.3,1.0416666666666667,0.5875,0.6502592324113495,0.05,0.8
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,101,bias,0.4,0.5,9,0.2,1.1125,0.525,0.6130654367881065,0.1625,0.7
full_seed101_bias_0p4_noise0p5_s9_a0p3_b0p8,101,bias,0.4,0.5,9,0.3,1.1125,0.525,0.6130654367881065,0.1625,0.8
full_seed101_drift_0p0_noise0p1_s13_a0p2_b0p7,101,drift,0.0,0.1,13,0.2,1.0,0.6166666666666667,0.7316503450568228,0.0,0.7
full_seed101_drift_0p0_noise0p1_s13_a0p3_b0p8,101,drift,0.0,0.1,13,0.3,1.0,0.6166666666666667,0.7316503450568228,0.0,0.8
full_seed101_drift_0p0_noise0p1_s5_a0p2_b0p7,101,drift,0.0,0.1,5,0.2,1.0,1.0,0.885706398181517,0.0,0.7
full_seed101_drift_0p0_noise0p1_s5_a0p3_b0p8,101,drift,0.0,0.1,5,0.3,1.0,1.0,0.885706398181517,0.0,0.8
full_seed101_drift_0p0_noise0p1_s9_a0p2_b0p7,101,drift,0.0,0.1,9,0.2,1.0,1.0,0.8165671065630927,0.0,0.7
full_seed101_drift_0p0_noise0p1_s9_a0p3_b0p8,101,drift,0.0,0.1,9,0.3,1.0,1.0,0.8165671065630927,0.0,0.8
full_seed101_drift_0p0_noise0p25_s13_a0p2_b0p7,101,drift,0.0,0.25,13,0.2,1.0,0.5708333333333333,0.7165146728230357,0.0,0.7
