scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,1.1708333333333334,0.0,0.5009746071492321,0.2208333333333333,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,1.1708333333333334,0.0,0.5009746071492321,0.2208333333333333,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,1.0416666666666667,0.8958333333333334,0.7776838277844688,0.0458333333333333,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,1.0416666666666667,0.8958333333333334,0.7776838277844688,0.0458333333333333,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,1.3541666666666667,0.45,0.7049341736405818,0.3916666666666666,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,1.3541666666666667,0.45,0.7049341736405818,0.3916666666666666,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,1.7875,0.0,0.5126042265131526,1.2541666666666669,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,1.7875,0.0,0.5126042265131526,1.2541666666666669,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,1.1125,0.7458333333333333,0.7503294699997307,0.1208333333333333,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,1.1125,0.7458333333333333,0.7503294699997307,0.1208333333333333,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,1.6,0.5583333333333333,0.720335575477289,0.8041666666666667,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,1.6,0.5583333333333333,0.720335575477289,0.8041666666666667,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,2.2,0.1333333333333333,0.572015083673296,3.7916666666666665,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,2.2,0.1333333333333333,0.572015083673296,3.7916666666666665,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,1.4958333333333331,0.6625,0.7267993370233424,0.6083333333333333,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,1.4958333333333331,0.6625,0.7267993370233424,0.6083333333333333,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,1.9208333333333332,0.5875,0.7051118788756499,1.7791666666666666,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,1.9208333333333332,0.5875,0.7051118788756499,1.7791666666666666,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,1.5333333333333334,0.0,0.4980172685526906,0.7,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,1.5333333333333334,0.0,0.4980172685526906,0.7,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,1.0416666666666667,0.8958333333333334,0.7776838277844688,0.0458333333333333,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,1.0416666666666667,0.8958333333333334,0.7776838277844688,0.0458333333333333,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,1.5958333333333334,0.4625,0.7088678211465381,0.8458333333333333,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,1.5958333333333334,0.4625,0.7088678211465381,0.8458333333333333,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,1.8791666666666669,0.0,0.5092394752925078,1.6875,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,1.8791666666666669,0.0,0.5092394752925078,1.6875,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,1.1125,0.7458333333333333,0.7503294699997307,0.1208333333333333,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,1.1125,0.7458333333333333,0.7503294699997307,0.1208333333333333,0.8
