configuration_id,method,metric,historical_global_value,corrected_global_value,delta,replaced_rows
acrp0.3_mz2.0,fpr_owa,mae,1.6166327830869047,1.617131463152357,0.0004986800654522838,135
acrp0.3_mz2.0,fpr_owa,rmse,1.7060349006535982,1.7070886685561222,0.0010537679025239832,135
acrp0.3_mz2.0,fpr_owa,median_absolute_error,1.5437561541722697,1.5437288373124458,-2.7316859823933726e-05,135
acrp0.3_mz2.0,fpr_owa,p95_absolute_error,2.480700335650473,2.4846694526211976,0.003969116970724773,135
acrp0.3_mz2.0,fpr_owa,max_absolute_error,2.8286819531647165,2.8345366573489628,0.005854704184246273,135
acrp0.3_mz2.0,crp,mae,1.6212433787895753,1.6212596059179807,1.6227128405432723e-05,135
acrp0.3_mz2.0,crp,rmse,1.7113931840549765,1.711841090158478,0.00044790610350142757,135
acrp0.3_mz2.0,crp,median_absolute_error,1.5530183872028176,1.5524457918745287,-0.0005725953282889051,135
acrp0.3_mz2.0,crp,p95_absolute_error,2.4702778170675193,2.4727893994692107,0.00251158240169147,135
acrp0.3_mz2.0,crp,max_absolute_error,2.9770680787322914,2.9823736269871515,0.005305548254860071,135
acrp0.3_mz4.0,fpr_owa,mae,1.6166327830869047,1.617131463152357,0.0004986800654522838,135
acrp0.3_mz4.0,fpr_owa,rmse,1.7060349006535982,1.7070886685561222,0.0010537679025239832,135
acrp0.3_mz4.0,fpr_owa,median_absolute_error,1.5437561541722697,1.5437288373124458,-2.7316859823933726e-05,135
acrp0.3_mz4.0,fpr_owa,p95_absolute_error,2.480700335650473,2.4846694526211976,0.003969116970724773,135
acrp0.3_mz4.0,fpr_owa,max_absolute_error,2.8286819531647165,2.8345366573489628,0.005854704184246273,135
acrp0.3_mz4.0,crp,mae,1.6101091025586756,1.6105504041857448,0.0004413016270692349,135
acrp0.3_mz4.0,crp,rmse,1.690733992290131,1.6917118163365286,0.0009778240463975685,135
acrp0.3_mz4.0,crp,median_absolute_error,1.5462985972443044,1.5461311466309777,-0.00016745061332668065,135
acrp0.3_mz4.0,crp,p95_absolute_error,2.4152852362655133,2.419034386538504,0.003749150272990498,135
acrp0.3_mz4.0,crp,max_absolute_error,2.734977152761607,2.739947103931719,0.004969951170112008,135
acrp0.5_mz2.0,fpr_owa,mae,1.6166327830869047,1.617131463152357,0.0004986800654522838,135
acrp0.5_mz2.0,fpr_owa,rmse,1.7060349006535982,1.7070886685561222,0.0010537679025239832,135
acrp0.5_mz2.0,fpr_owa,median_absolute_error,1.5437561541722697,1.5437288373124458,-2.7316859823933726e-05,135
acrp0.5_mz2.0,fpr_owa,p95_absolute_error,2.480700335650473,2.4846694526211976,0.003969116970724773,135
