scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,ticks,llm_calls,llm_failures,llm_invocation_rate,llm_failure_rate,verifier_calls,mean_loop_latency_ms,p95_loop_latency_ms,p99_loop_latency_ms,mean_llm_latency_seconds,p95_llm_latency_seconds,unsafe_actions_proposed,unsafe_actions_blocked_by_verifier,unsafe_actions_executed,safe_actions_accepted,deterministic_safe_actions,thermal_sla_violation_rate,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,deadline_ms,deadline_miss_rate
realtime_seed42_bias_0p0_noise0p25_s9_a0p3_b0p8,42,bias,0.0,0.25,9,0.3,0.8,240,217,0,0.9041666666666667,0.0,457,6189.752254947477,7331.553869647905,7443.021628770511,6.845392163349358,7.34488241947256,215,215,0,2,0,0.0,1.7265432730010424,1.7937771837860732,1.6347870467410623,2.443306404915865,2.6370559037383408,100,0.9041666666666667
realtime_seed42_bias_0p0_noise0p25_s9_a0p3_b0p8,42,bias,0.0,0.25,9,0.3,0.8,240,217,0,0.9041666666666667,0.0,457,6189.752254947477,7331.553869647905,7443.021628770511,6.845392163349358,7.34488241947256,215,215,0,2,0,0.0,1.7265432730010424,1.7937771837860732,1.6347870467410623,2.443306404915865,2.6370559037383408,250,0.9041666666666667
realtime_seed42_bias_0p0_noise0p25_s9_a0p3_b0p8,42,bias,0.0,0.25,9,0.3,0.8,240,217,0,0.9041666666666667,0.0,457,6189.752254947477,7331.553869647905,7443.021628770511,6.845392163349358,7.34488241947256,215,215,0,2,0,0.0,1.7265432730010424,1.7937771837860732,1.6347870467410623,2.443306404915865,2.6370559037383408,500,0.9041666666666667
realtime_seed42_bias_0p0_noise0p25_s9_a0p3_b0p8,42,bias,0.0,0.25,9,0.3,0.8,240,217,0,0.9041666666666667,0.0,457,6189.752254947477,7331.553869647905,7443.021628770511,6.845392163349358,7.34488241947256,215,215,0,2,0,0.0,1.7265432730010424,1.7937771837860732,1.6347870467410623,2.443306404915865,2.6370559037383408,1000,0.9041666666666667
realtime_seed42_bias_0p0_noise0p25_s9_a0p3_b0p8,42,bias,0.0,0.25,9,0.3,0.8,240,217,0,0.9041666666666667,0.0,457,6189.752254947477,7331.553869647905,7443.021628770511,6.845392163349358,7.34488241947256,215,215,0,2,0,0.0,1.7265432730010424,1.7937771837860732,1.6347870467410623,2.443306404915865,2.6370559037383408,5000,0.9041666666666667
realtime_seed42_bias_0p0_noise0p25_s13_a0p3_b0p8,42,bias,0.0,0.25,13,0.3,0.8,240,143,0,0.5958333333333333,0.0,383,4171.712213056162,7724.832002248149,7964.728485106024,7.000938979008437,7.810851731756702,124,124,0,19,0,0.0,1.4230427131961676,1.5184860649784044,1.3737965524029805,2.1552212737621694,2.3941881899948596,100,0.5958333333333333
realtime_seed42_bias_0p0_noise0p25_s13_a0p3_b0p8,42,bias,0.0,0.25,13,0.3,0.8,240,143,0,0.5958333333333333,0.0,383,4171.712213056162,7724.832002248149,7964.728485106024,7.000938979008437,7.810851731756702,124,124,0,19,0,0.0,1.4230427131961676,1.5184860649784044,1.3737965524029805,2.1552212737621694,2.3941881899948596,250,0.5958333333333333
realtime_seed42_bias_0p0_noise0p25_s13_a0p3_b0p8,42,bias,0.0,0.25,13,0.3,0.8,240,143,0,0.5958333333333333,0.0,383,4171.712213056162,7724.832002248149,7964.728485106024,7.000938979008437,7.810851731756702,124,124,0,19,0,0.0,1.4230427131961676,1.5184860649784044,1.3737965524029805,2.1552212737621694,2.3941881899948596,500,0.5958333333333333
realtime_seed42_bias_0p0_noise0p25_s13_a0p3_b0p8,42,bias,0.0,0.25,13,0.3,0.8,240,143,0,0.5958333333333333,0.0,383,4171.712213056162,7724.832002248149,7964.728485106024,7.000938979008437,7.810851731756702,124,124,0,19,0,0.0,1.4230427131961676,1.5184860649784044,1.3737965524029805,2.1552212737621694,2.3941881899948596,1000,0.5958333333333333
realtime_seed42_bias_0p0_noise0p25_s13_a0p3_b0p8,42,bias,0.0,0.25,13,0.3,0.8,240,143,0,0.5958333333333333,0.0,383,4171.712213056162,7724.832002248149,7964.728485106024,7.000938979008437,7.810851731756702,124,124,0,19,0,0.0,1.4230427131961676,1.5184860649784044,1.3737965524029805,2.1552212737621694,2.3941881899948596,5000,0.5958333333333333
