file,variant,ticks,mae_c,precision,recall,true_positive_reporter_ticks,false_positive_reporter_ticks,false_negative_reporter_ticks,true_negative_reporter_ticks,false_alarm_transition_ticks,nonconverged_ticks,reporter_exclusions,total_rounds
seed101_10_spike_high_fpr_crp.ticks.csv,temporal_only,240,0.07701610659121104,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed101_10_spike_high_fpr_crp.ticks.csv,social_only,240,0.07701610659121104,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed101_10_spike_high_fpr_crp.ticks.csv,published_blend,240,0.07701610659121104,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed101_10_spike_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07701610659121104,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed101_11_scaling_low_fpr_crp.ticks.csv,temporal_only,240,0.06863084410381905,,0.0,0,0,180,1980,0,0,0,240
seed101_11_scaling_low_fpr_crp.ticks.csv,social_only,240,0.06863084410381905,,0.0,0,0,180,1980,0,0,0,240
seed101_11_scaling_low_fpr_crp.ticks.csv,published_blend,240,0.06863084410381905,,0.0,0,0,180,1980,0,0,0,240
seed101_11_scaling_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.06863084410381905,,0.0,0,0,180,1980,0,0,0,240
seed101_12_scaling_high_fpr_crp.ticks.csv,temporal_only,240,0.09139229675552958,,0.0,0,0,180,1980,0,58,6,242
seed101_12_scaling_high_fpr_crp.ticks.csv,social_only,240,0.08295029493657845,1.0,0.9166666666666666,165,0,15,1980,0,1,172,299
seed101_12_scaling_high_fpr_crp.ticks.csv,published_blend,240,0.0906924176774269,1.0,0.03333333333333333,6,0,174,1980,0,56,11,244
seed101_12_scaling_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08257930882447233,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed101_13_stuck_low_fpr_crp.ticks.csv,temporal_only,240,0.07625826107869506,,0.0,0,0,180,1980,0,18,0,240
seed101_13_stuck_low_fpr_crp.ticks.csv,social_only,240,0.07625826107869506,,0.0,0,0,180,1980,0,18,0,240
seed101_13_stuck_low_fpr_crp.ticks.csv,published_blend,240,0.07625826107869506,,0.0,0,0,180,1980,0,18,0,240
seed101_13_stuck_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07461074986729964,1.0,0.13333333333333333,24,0,156,1980,0,6,36,252
seed101_14_stuck_high_fpr_crp.ticks.csv,temporal_only,240,0.11471451157592509,0.5,0.016666666666666666,3,3,177,1977,0,57,9,243
seed101_14_stuck_high_fpr_crp.ticks.csv,social_only,240,0.07970505650631862,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
